property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,chd avenue,sector 71,0.82,7083.0,1157.7,Super Built up area 1200(111.48 sq.m.),2.0,2,2,6.0,,Moderately old,1200.0,,,0,0,0,0,0,0,0,578.85
house,unitech deerwood chase,sector 50,8.45,26432.0,3196.89,Plot area 359(33.35 sq.m.),3.0,3,2,2.0,North-East,Old Property,,359.0,,1,1,0,0,0,2,102,1065.6299999999999
house,bptp visionnaire,sector 70,5.25,20155.0,2604.86,Plot area 290(242.48 sq.m.),5.0,4,3+,3.0,North-East,New Property,,2610.0,,0,1,0,0,0,2,49,520.972
flat,ss the leaf,sector 85,1.83,7610.0,2404.7,Super Built up area 2408(223.71 sq.m.)Built Up area: 1925 sq.ft. (178.84 sq.m.)Carpet area: 1875 sq.ft. (174.19 sq.m.),3.0,4,3,9.0,North-East,Relatively New,2408.0,1925.0,1875.0,0,0,0,0,0,0,49,801.5666666666666
flat,zara aavaas,sector 104,0.22,7302.0,301.3,Carpet area: 301.28 (27.99 sq.m.),1.0,2,2,2.0,,New Property,,,301.28,0,0,0,0,0,0,60,301.3
flat,imperia the esfera,sector 37,1.4,5384.0,2600.3,Super Built up area 2600(241.55 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4.0,5,3,9.0,North,Relatively New,2600.0,,2100.0,0,0,0,0,0,0,49,650.075
flat,experion windchants,sector 112,3.4,12134.0,2802.0,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3.0,3,2,14.0,North-East,Relatively New,2802.0,2225.56,,0,0,0,0,0,2,159,934.0
flat,uphaar homes,sector 105,0.45,4736.0,950.2,Carpet area: 950 (88.26 sq.m.),3.0,2,1,1.0,,Relatively New,,,950.0,0,0,0,0,0,2,44,316.73333333333335
flat,signature global park,sector 48,0.68,8252.0,824.0,Carpet area: 824 (76.55 sq.m.),2.0,2,2,3.0,,New Property,,,824.0,0,0,0,0,0,0,113,412.0
flat,central park flower valley aqua front towers,sector 33,1.7,9449.0,1799.1,Super Built up area 1799(167.13 sq.m.)Carpet area: 1590 sq.ft. (147.72 sq.m.),3.0,3,3+,5.0,East,New Property,1799.0,,1590.0,0,0,0,0,0,2,44,599.6999999999999
flat,godrej nature plus,sector 33,1.25,9025.0,1385.0,Built Up area: 1385 (128.67 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2,3,17.0,,Undefined,,1385.0,1000.0,0,0,0,0,0,0,56,692.5
flat,bestech park view city,sector 49,2.9,12169.0,2383.1,Super Built up area 2383(221.39 sq.m.),4.0,4,3+,5.0,South-West,Moderately old,2383.0,,,0,0,0,0,0,0,117,595.775
flat,dlf regal gardens,sector 90,2.05,9000.0,2277.8,Super Built up area 2215(205.78 sq.m.),4.0,4,3+,5.0,,Relatively New,2215.0,,,0,0,0,0,0,2,49,569.45
flat,unitech uniworld gardens,sector 47,2.4,11505.0,2086.0,Super Built up area 2086(193.8 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3.0,4,3+,10.0,East,Moderately old,2086.0,,1750.0,0,0,0,0,0,0,103,695.3333333333334
flat,ramprastha primera,sector 37,1.08,6000.0,1800.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3.0,3,3,9.0,South,Relatively New,1800.0,1700.0,1600.0,0,0,0,0,0,0,158,600.0
flat,signature global park,sector 48,0.95,7846.0,1210.8,Built Up area: 1210.73 (112.48 sq.m.)Carpet area: 756.6 sq.ft. (70.29 sq.m.),3.0,2,3+,1.0,,Relatively New,,1210.73,756.6,0,0,0,0,0,0,46,403.59999999999997
flat,nagata group housing society,sector 1,0.85,3695.0,2300.4,Super Built up area 2300(213.68 sq.m.),3.0,3,3+,4.0,North,Relatively New,2300.0,,,0,0,0,0,0,0,5,766.8000000000001
flat,conscient elevate,sector 59,6.75,19882.0,3395.0,Super Built up area 3395(315.41 sq.m.)Carpet area: 1855 sq.ft. (172.34 sq.m.),4.0,4,2,10.0,,New Property,3395.0,,1855.0,0,0,0,0,0,0,31,848.75
flat,bestech park view city,sector 49,2.7,12505.0,2159.1,Super Built up area 2159(200.58 sq.m.),3.0,4,3+,6.0,,Moderately old,2159.0,,,0,0,0,0,0,0,0,719.6999999999999
flat,shree vardhman flora,sector 90,0.65,5000.0,1300.0,Super Built up area 1300(120.77 sq.m.),2.0,2,2,12.0,East,Old Property,1300.0,,,0,0,0,0,0,0,103,650.0
house,emaar mgf marbella,sector 66,8.8,36661.0,2400.35,Built Up area: 267 (223.25 sq.m.),4.0,4,3+,3.0,South-East,Relatively New,,267.0,,0,1,1,1,0,0,107,600.0875
flat,ansal heights,sector 86,0.74,5441.0,1360.0,Super Built up area 1360(126.35 sq.m.),2.0,2,1,11.0,,Under Construction,1360.0,,,0,0,0,0,0,0,45,680.0
house,independent,sector 3,0.6,5994.0,1001.04,Built Up area: 1000 (92.9 sq.m.),1.0,1,0,1.0,,Undefined,,1000.0,,0,0,0,0,0,0,0,1001.04
house,international city by sobha phase 2,sector 109,6.25,10028.0,6232.3,Plot area 692(578.6 sq.m.),5.0,7,3+,3.0,North-East,Relatively New,,6228.0,,1,1,1,1,0,0,147,1246.46
house,independent,sector 56,7.5,23149.0,3239.93,Plot area 360(301.01 sq.m.),8.0,8,3+,3.0,North-East,Relatively New,,3240.0,,1,1,0,1,0,1,42,404.99125
flat,tarc maceo,sector 91,0.87,6641.0,1310.0,Super Built up area 1310(121.7 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2,2,9.0,North-West,Relatively New,1310.0,,1000.0,0,0,0,0,0,0,78,655.0
flat,rof ananda,sector 95,0.38,5899.0,644.2,Carpet area: 644.12 (59.84 sq.m.),2.0,2,2,5.0,,Relatively New,,,644.12,0,0,0,0,0,0,83,322.1
flat,chintamani,sector 103,1.57,8509.0,1845.1,Built Up area: 1845 (171.41 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3.0,3,3,1.0,North-East,Undefined,,1845.0,1350.0,0,0,0,0,0,0,0,615.0333333333333
flat,experion windchants,sector 112,2.5,12893.0,1939.03,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2.0,2,3,10.0,East,Relatively New,2441.0,1939.03,1800.0,0,0,0,0,0,2,174,969.515
flat,eldeco accolade,sector 48,0.72,5735.0,1255.4,Carpet area: 1264 (117.43 sq.m.),2.0,2,3,8.0,West,Relatively New,,,1264.0,0,0,0,0,0,0,153,627.7
house,independent,sector 55,5.0,44240.0,1130.21,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),2.0,9,3+,5.0,East,New Property,,115.0,100.0,0,0,0,0,1,2,44,565.105
flat,apna enclave,sector 3,0.5,7692.0,650.0,Carpet area: 650 (60.39 sq.m.),2.0,2,1,1.0,West,Old Property,,,650.0,0,0,0,0,0,2,37,325.0
house,tata primanti,sector 72,8.6,12292.0,6996.54,Built Up area: 7000 (650.32 sq.m.),4.0,5,3+,3.0,,Relatively New,,7000.0,,0,0,0,0,0,2,30,1749.135
flat,hcbs sports ville,sector 48,0.22,3142.0,700.2,Carpet area: 700 (65.03 sq.m.),1.0,1,1,1.0,,New Property,,,700.0,0,0,0,0,0,0,86,700.2
house,independent,sector 11,2.5,13514.0,1850.0,Plot area 1400(130.06 sq.m.)Built Up area: 1850 sq.ft. (171.87 sq.m.),5.0,4,3,1.0,East,Old Property,,1850.0,,0,0,1,0,0,0,0,370.0
flat,bestech park view ananda,sector 81,1.15,6927.0,1660.2,Super Built up area 1660(154.22 sq.m.)Carpet area: 1082 sq.ft. (100.52 sq.m.),3.0,2,3+,12.0,East,Relatively New,1660.0,,1082.0,0,0,0,0,0,0,101,553.4
flat,dlf new town heights,sector 90,1.25,8638.0,1447.1,Carpet area: 1447 (134.43 sq.m.),3.0,4,3+,0.0,North-West,Old Property,,,1447.0,0,0,0,0,0,1,31,482.3666666666666
flat,sobha city,sector 108,3.95,16858.0,2343.1,Super Built up area 2343(217.67 sq.m.)Carpet area: 1512.05 sq.ft. (140.47 sq.m.),3.0,5,2,15.0,North,New Property,2343.0,,1512.05,0,0,0,0,0,0,118,781.0333333333333
flat,parsvnath green ville,sector 48,1.6,8376.0,1910.2,Super Built up area 1910(177.44 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3.0,3,3,13.0,North-West,Old Property,1910.0,1700.0,1600.0,0,0,0,0,0,2,119,636.7333333333333
house,my home,sector 2,0.34,12635.0,269.1,Plot area 270(25.08 sq.m.),2.0,2,2,3.0,West,Moderately old,,270.0,,0,0,0,0,0,0,22,134.55
flat,shapoorji pallonji joyville gurugram,sector 102,1.75,9449.0,1852.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1128 sq.ft. (104.79 sq.m.),3.0,3,3,10.0,West,Relatively New,1852.0,,1128.0,0,0,0,0,0,0,49,617.3333333333334
flat,sunischit apartments,sector 54,1.75,7954.0,2200.2,Super Built up area 2200(204.39 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3.0,3,3+,6.0,North-East,Moderately old,2200.0,2100.0,2000.0,0,0,0,0,0,2,126,733.4
flat,dlf the skycourt,sector 86,1.56,8087.0,1929.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1580 sq.ft. (146.79 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3.0,4,3+,17.0,South-West,Relatively New,1929.0,1580.0,1450.0,0,0,0,0,0,0,174,643.0
flat,signature global solera,sector 107,0.4,6645.0,602.0,Super Built up area 602(55.93 sq.m.)Carpet area: 548 sq.ft. (50.91 sq.m.),2.0,2,1,7.0,,Relatively New,602.0,,548.0,0,0,0,0,0,2,55,301.0
flat,ansal plaza,sector 2,1.0,10000.0,1000.0,Built Up area: 1000 (92.9 sq.m.),2.0,3,0,1.0,,Undefined,,1000.0,,0,0,0,0,0,0,0,500.0
flat,aipl zen residences,sector 70,1.34,10276.0,1304.0,Super Built up area 1304(121.15 sq.m.),2.0,2,3+,17.0,East,New Property,1304.0,,,0,0,0,0,0,2,110,652.0
flat,the close north,sector 50,2.65,10685.0,2480.1,Super Built up area 2480(230.4 sq.m.)Built Up area: 2470 sq.ft. (229.47 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3.0,4,3+,6.0,North,Moderately old,2480.0,2470.0,2000.0,0,0,0,0,0,2,174,826.6999999999999
flat,vasant appartments,sector 14,1.7,7391.0,2300.1,Carpet area: 2300 (213.68 sq.m.),5.0,5,2,2.0,North-West,Old Property,,,2300.0,0,0,0,0,0,1,71,460.02
house,independent,sector 12,0.9,13272.0,678.13,Built Up area: 675 (62.71 sq.m.),2.0,4,0,2.0,,Undefined,,675.0,,0,0,0,0,0,0,0,339.065
flat,tulip violet,sector 69,1.4,8840.0,1583.7,Super Built up area 1578(146.6 sq.m.),3.0,3,2,1.0,North-East,Relatively New,1578.0,,,0,0,0,0,0,0,95,527.9
flat,sare crescent parc,sector 92,0.5,5000.0,1000.0,Super Built up area 1000(92.9 sq.m.),2.0,2,3,2.0,,Moderately old,1000.0,,,0,0,0,0,0,0,38,500.0
flat,emaar gurgaon greens,sector 102,1.3,7878.0,1650.2,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3.0,3,3,4.0,East,Relatively New,1650.0,,1022.58,0,0,0,0,0,2,125,550.0666666666667
flat,adarsh nagar,sector 12,0.65,6190.0,1050.1,Carpet area: 1050 (97.55 sq.m.),3.0,3,1,1.0,North-West,New Property,,,1050.0,0,0,0,0,0,2,42,350.0333333333333
flat,suncity vatsal valley,sector 59,1.45,10139.0,1430.1,Built Up area: 1430 (132.85 sq.m.)Carpet area: 760 sq.ft. (70.61 sq.m.),3.0,3,3,4.0,,Under Construction,,1430.0,760.0,0,0,0,0,0,0,49,476.7
flat,mm woodshire,sector 107,0.94,6881.0,1366.1,Super Built up area 1366(126.91 sq.m.),2.0,2,3+,1.0,East,Moderately old,1366.0,,,0,0,0,0,0,0,113,683.05
flat,prime habitat,sector 99,0.32,4657.0,687.1,Super Built up area 687(63.82 sq.m.)Built Up area: 601 sq.ft. (55.83 sq.m.)Carpet area: 448 sq.ft. (41.62 sq.m.),2.0,2,1,7.0,,Relatively New,687.0,601.0,448.0,0,0,0,0,0,0,44,343.55
flat,hsiidc sidco shivalik apartments,sector 1,0.6,4000.0,1500.0,Super Built up area 1500(139.35 sq.m.)Carpet area: 1077 sq.ft. (100.06 sq.m.),3.0,2,2,5.0,South-East,Moderately old,1500.0,,1077.0,0,0,0,0,0,0,80,500.0
flat,ireo skyon,sector 60,3.7,13214.0,2800.1,Super Built up area 2800(260.13 sq.m.),4.0,5,3,10.0,South,Relatively New,2800.0,,,0,0,0,0,0,2,165,700.025
flat,mvn athens,sector 48,0.26,5396.0,481.8,Carpet area: 481.74 (44.76 sq.m.),2.0,2,1,2.0,,Relatively New,,,481.74,0,0,0,0,0,0,37,240.9
flat,bptp terra,sector 37,1.78,8124.0,2191.0,Super Built up area 2191(203.55 sq.m.),4.0,3,3,10.0,East,Relatively New,2191.0,,,0,0,0,0,0,0,127,547.75
flat,signature the roselia,sector 95,0.45,7909.0,569.0,Carpet area: 569 (52.86 sq.m.),2.0,2,2,2.0,East,New Property,,,569.0,0,0,0,0,0,2,31,284.5
flat,paras dews,sector 106,0.92,6642.0,1385.1,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2.0,2,3+,2.0,East,Relatively New,1385.0,940.0,845.0,0,0,0,0,0,0,174,692.55
flat,pivotal devaan,sector 84,0.35,6003.0,583.0,Super Built up area 583(54.16 sq.m.),2.0,2,1,4.0,East,Relatively New,583.0,,,0,0,0,0,0,0,37,291.5
house,independent,sector 21,1.6,11892.0,1345.49,Plot area 150(125.42 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.),5.0,5,2,3.0,,Relatively New,,120.0,,0,0,0,0,0,0,0,269.098
flat,"new colony, gurgaon",sector 7,0.8,8100.0,987.6,Carpet area: 990 (91.97 sq.m.),3.0,2,1,4.0,North-East,Relatively New,,,990.0,0,0,0,0,0,2,69,329.2
flat,conscient habitat,sector 99,0.35,6422.0,545.0,Carpet area: 545 (50.63 sq.m.),2.0,2,1,3.0,North-East,Relatively New,,,545.0,0,0,0,0,0,0,62,272.5
flat,capital residences,sector 70,1.68,8502.0,1976.0,Super Built up area 1976(183.58 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1560 sq.ft. (144.93 sq.m.),3.0,3,3+,5.0,North-East,New Property,1976.0,1900.0,1560.0,0,0,0,0,0,0,141,658.6666666666666
flat,mm golfestate,sector 65,6.15,18287.0,3363.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3.0,3,3,23.0,,Moderately old,3363.0,,2710.0,0,0,0,0,0,2,60,1121.0
flat,experion the heartsong,sector 108,0.9,7014.0,1283.2,Super Built up area 1283(119.19 sq.m.),2.0,3,3,7.0,East,Relatively New,1283.0,,,0,0,0,0,0,0,72,641.6
house,independent,sector 46,2.25,2732.0,8234.37,Plot area 102(85.28 sq.m.)Built Up area: 90 sq.yards (75.25 sq.m.)Carpet area: 85 sq.yards (71.07 sq.m.),4.0,3,3,3.0,North-East,Relatively New,,90.0,85.0,1,0,0,0,0,2,35,2058.5925
flat,paras dews,sector 106,0.97,8083.0,1200.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2.0,2,3,6.0,North-East,New Property,1385.0,1200.0,1100.0,0,0,0,0,0,2,174,600.0
flat,vatika emilia floors,sector 83,0.6,5714.0,1050.0,Super Built up area 1050(97.55 sq.m.)Built Up area: 990 sq.ft. (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2.0,2,2,1.0,South,Relatively New,1050.0,990.0,950.0,0,0,0,0,0,2,167,525.0
house,independent,sector 31,3.5,24086.0,1453.13,Plot area 161(134.62 sq.m.),4.0,4,3,2.0,North-East,Old Property,,1449.0,,0,0,1,0,0,2,70,363.2825
house,independent,sector 17,0.29,3246.0,893.4,Plot area 891(82.78 sq.m.),2.0,1,0,0.0,West,Old Property,,891.0,,0,0,0,0,0,0,0,446.7
flat,ats triumph,sector 104,2.65,8412.0,3150.3,Super Built up area 3150(292.64 sq.m.)Carpet area: 2650 sq.ft. (246.19 sq.m.),4.0,4,3+,14.0,East,Relatively New,3150.0,,2650.0,0,0,0,0,0,0,21,787.575
flat,sukhshanti apartment,sector 56,1.65,7006.0,2355.1,Super Built up area 2355(218.79 sq.m.),3.0,3,3+,5.0,North,Moderately old,2355.0,,,0,0,0,0,0,2,134,785.0333333333333
flat,valley view estate,sector 59,1.5,7489.0,2002.9,Super Built up area 2000(185.81 sq.m.)Built Up area: 1850 sq.ft. (171.87 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),4.0,4,3+,10.0,North-East,Moderately old,2000.0,1850.0,1650.0,0,0,0,0,0,0,58,500.725
flat,shree vardhman victoria,sector 70,1.23,9111.0,1350.0,Super Built up area 1350(125.42 sq.m.),2.0,2,3,1.0,North-East,Relatively New,1350.0,,,0,0,0,0,0,0,43,675.0
flat,signature global solera,sector 107,0.37,6680.0,553.9,Carpet area: 553.85 (51.45 sq.m.),2.0,2,2,9.0,,New Property,,,553.85,0,0,0,0,0,0,23,276.95
flat,emaar palm gardens,sector 83,1.48,7789.0,1900.1,Super Built up area 1900(176.52 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3.0,3,3,7.0,East,Relatively New,1900.0,,1240.04,0,0,0,0,0,0,66,633.3666666666667
flat,aipl zen residences,sector 70,1.75,10257.0,1706.2,Built Up area: 1706 (158.49 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3.0,4,3+,20.0,North-East,Relatively New,,1706.0,1050.0,0,0,0,0,0,1,49,568.7333333333333
flat,hcbs sports ville,sector 48,0.32,5517.0,580.0,Carpet area: 580 (53.88 sq.m.),2.0,2,1,7.0,,New Property,,,580.0,0,0,0,0,0,0,37,290.0
flat,jammu and kashmir bank employees cghs,sector 9,0.95,6129.0,1550.0,Super Built up area 1550(144 sq.m.),3.0,3,2,5.0,West,Moderately old,1550.0,,,0,0,0,0,0,0,30,516.6666666666666
flat,shree vardhman flora,sector 90,1.3,5252.0,2475.2,Super Built up area 2475(229.94 sq.m.)Carpet area: 1825 sq.ft. (169.55 sq.m.),4.0,5,2,9.0,North-East,Relatively New,2475.0,,1825.0,0,0,0,0,0,0,110,618.8
house,eros rosewood city,sector 49,3.75,22050.0,1700.7,Plot area 189(158.03 sq.m.),3.0,3,1,2.0,South,Old Property,,1701.0,,0,0,0,1,0,2,6,566.9
flat,whiteland blissville,sector 76,1.92,11794.0,1628.0,Built Up area: 1628 (151.25 sq.m.),3.0,3,2,3.0,,Undefined,,1628.0,,0,0,0,0,0,0,61,542.6666666666666
flat,dlf regal gardens,sector 90,1.23,7052.0,1744.2,Super Built up area 1744(162.02 sq.m.),3.0,3,2,19.0,North,Relatively New,1744.0,,,0,0,0,0,0,0,6,581.4
flat,corona optus,sector 37,1.44,7250.0,1986.2,Carpet area: 1990 (184.88 sq.m.),3.0,3,3+,8.0,North-West,New Property,,,1990.0,0,0,0,0,0,0,37,662.0666666666667
flat,paras dews,sector 106,1.35,6429.0,2100.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4.0,4,3+,18.0,North-East,Relatively New,2355.0,2100.0,1850.0,0,0,0,0,0,2,174,525.0
flat,godrej oasis,sector 88,1.3,7258.0,1791.1,Carpet area: 1791 (166.39 sq.m.),3.0,3,3+,4.0,North-West,Relatively New,,,1791.0,0,0,0,0,0,0,79,597.0333333333333
flat,mariners home,sector 56,2.11,8612.0,2450.1,Super Built up area 2450(227.61 sq.m.)Built Up area: 2250 sq.ft. (209.03 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),3.0,2,3,4.0,South,Relatively New,2450.0,2250.0,2150.0,0,0,0,0,0,2,126,816.6999999999999
house,independent,sector 43,2.5,2900.0,8621.91,Plot area 107(89.47 sq.m.),7.0,7,3,4.0,West,Relatively New,,963.0,,0,0,0,0,1,2,20,1231.7014285714286
house,vipul tatvam villa,sector 48,8.5,26235.0,3239.93,Plot area 360(301.01 sq.m.),4.0,6,3,3.0,North,Old Property,,3240.0,,0,1,0,1,1,0,49,809.9825
flat,valley view estate,sector 59,0.38,6089.0,624.1,Super Built up area 624(57.97 sq.m.),1.0,1,1,11.0,,Moderately old,624.0,,,0,0,0,0,0,0,42,624.1
flat,ompee k s residency,sector 2,1.6,2993.0,5346.0,Carpet area: 66 (55.18 sq.m.),2.0,2,2,1.0,,Relatively New,,,66.0,0,0,0,0,0,0,0,2673.0
house,dlf city plots phase 2,sector 25,10.75,29901.0,3595.14,Plot area 400(334.45 sq.m.),9.0,9,3+,3.0,South-West,Old Property,,3600.0,,0,1,1,1,0,0,73,399.46
flat,signature global park,sector 48,0.55,7355.0,747.8,Carpet area: 745 (69.21 sq.m.),2.0,2,3,4.0,East,New Property,,,745.0,0,0,0,0,0,0,80,373.9
flat,bestech park view sanskruti,sector 92,1.55,7568.0,2048.1,Super Built up area 1995(185.34 sq.m.),3.0,4,3,16.0,South,Relatively New,1995.0,,,0,0,0,0,0,2,60,682.6999999999999
house,independent,sector 14,3.4,15113.0,2249.66,Plot area 250(209.03 sq.m.),3.0,3,3,1.0,North-West,Old Property,,2250.0,,0,0,0,0,0,0,32,749.8866666666667
flat,emaar palm gardens,sector 83,1.8,9473.0,1900.1,Super Built up area 1900(176.52 sq.m.)Carpet area: 1244.33 sq.ft. (115.6 sq.m.),3.0,4,3,4.0,West,Relatively New,1900.0,,1244.33,0,0,0,0,0,2,174,633.3666666666667
flat,umang winter hills,sector 77,0.99,7857.0,1260.0,Super Built up area 1260(117.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2,2,1.0,North,Relatively New,1260.0,,1000.0,0,0,0,0,0,0,97,630.0
flat,vatika independent floors,sector 82,0.67,5826.0,1150.0,Built Up area: 1150 (106.84 sq.m.),2.0,2,3,2.0,,Moderately old,,1150.0,,0,0,0,0,0,0,53,575.0
flat,huda ashok vihar phase,sector 4,0.43,6615.0,650.0,Carpet area: 650 (60.39 sq.m.),2.0,2,1,2.0,,Relatively New,,,650.0,0,0,0,0,0,0,7,325.0
house,international city by sobha phase 2,sector 109,9.5,26425.0,3595.14,Plot area 400(334.45 sq.m.),5.0,5,3+,2.0,South,Relatively New,,3600.0,,1,1,1,1,0,0,133,719.028
flat,tulip ivory,sector 70,2.0,8333.0,2400.1,Super Built up area 2400(222.97 sq.m.),4.0,5,3+,2.0,South-East,Relatively New,2400.0,,,0,0,0,0,0,2,49,600.025
flat,tata primanti,sector 72,5.0,11363.0,4400.2,Super Built up area 4400(408.77 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4.0,4,3+,2.0,North-East,New Property,4400.0,4000.0,3500.0,0,0,0,0,0,2,174,1100.05
house,independent,sector 25,4.45,33073.0,1345.49,Plot area 150(125.42 sq.m.),4.0,3,3+,2.0,West,Moderately old,,1350.0,,0,0,1,0,0,0,79,336.3725
flat,aipl the peaceful homes,sector 70,2.4,11162.0,2150.2,Super Built up area 2150(199.74 sq.m.),3.0,3,3,11.0,South-West,Relatively New,2150.0,,,0,0,0,0,0,0,108,716.7333333333332
flat,signature global solera,sector 107,0.28,5828.0,480.4,Carpet area: 489 (45.43 sq.m.),2.0,2,2,11.0,South,Relatively New,,,489.0,0,0,0,0,0,0,45,240.2
flat,emaar gurgaon greens,sector 102,1.54,9333.0,1650.1,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3.0,3,3,12.0,North-East,Relatively New,1650.0,,1022.58,0,0,0,0,0,0,61,550.0333333333333
flat,emaar mgf palm hills,sector 77,1.25,8620.0,1450.1,Carpet area: 1450 (134.71 sq.m.),3.0,4,3,1.0,West,Relatively New,,,1450.0,0,0,0,0,0,2,104,483.3666666666666
flat,bestech altura,sector 79,1.85,8604.0,2150.2,Super Built up area 2150(199.74 sq.m.),3.0,4,3+,11.0,North,New Property,2150.0,,,0,0,0,0,0,0,49,716.7333333333332
house,international city by sobha phase 1,sector 109,6.15,25281.0,2432.64,Plot area 270(225.75 sq.m.)Built Up area: 270 sq.yards (225.75 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5.0,5,3+,3.0,West,Relatively New,,270.0,250.0,0,1,1,1,0,2,130,486.52799999999996
house,independent,sector 28,1.39,9586.0,1450.0,Plot area 540(50.17 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2,1,3.0,North-East,Old Property,,1450.0,1200.0,0,0,1,0,0,0,37,725.0
flat,ambience creacions,sector 22,4.1,28101.0,1459.0,Super Built up area 2781(258.36 sq.m.)Carpet area: 1459 sq.ft. (135.55 sq.m.),3.0,3,3+,2.0,North-East,New Property,2781.0,,1459.0,0,0,0,0,0,1,119,486.3333333333333
flat,ats kocoon,sector 109,1.68,9627.0,1745.1,Super Built up area 1745(162.12 sq.m.),3.0,3,3,8.0,North-East,Relatively New,1745.0,,,0,0,0,0,0,0,142,581.6999999999999
flat,emaar mgf emerald floors premier,sector 65,2.4,14545.0,1650.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3.0,3,3,3.0,East,Relatively New,1650.0,1600.0,1250.0,0,0,0,0,0,2,49,550.0
flat,tulip violet,sector 69,1.65,8872.0,1859.8,Built Up area: 1578 (146.6 sq.m.),3.0,3,2,1.0,,Relatively New,,1578.0,,0,0,0,0,0,2,69,619.9333333333333
flat,dlf the skycourt,sector 86,1.5,7894.0,1900.2,Super Built up area 1900(176.52 sq.m.),3.0,3,1,16.0,East,Relatively New,1900.0,,,0,0,0,0,0,0,49,633.4
house,signature global city 92,sector 92,0.75,7829.0,957.99,Built Up area: 959 (89.09 sq.m.),2.0,2,3,1.0,,Undefined,,959.0,,0,0,0,0,0,0,46,478.995
flat,ramprastha the edge towers,sector 37,0.8,6107.0,1310.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1310 sq.ft. (121.7 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2.0,2,3,10.0,South-East,Relatively New,1380.0,1310.0,900.0,0,0,0,0,0,0,166,655.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.35,14754.0,915.0,Super Built up area 915(85.01 sq.m.),2.0,2,2,10.0,,Undefined,915.0,,,0,0,0,0,0,0,22,457.5
flat,dlf regency park,sector 28,2.3,11817.0,1946.4,Built Up area: 1777 (165.09 sq.m.),3.0,3,3,7.0,North-East,Moderately old,,1777.0,,0,0,0,0,0,0,117,648.8000000000001
