property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,bptp terra,sector 37,1.45,8006.0,1811.1,Super Built up area 1811(168.25 sq.m.),3.0,3,3,9.0,North-East,Relatively New,1811.0,,,0,0,0,0,0,0,107,603.6999999999999
flat,signature global park,sector 36,1.0,9900.0,1010.1,Carpet area: 1010 (93.83 sq.m.),3.0,2,3,2.0,,New Property,,,1010.0,0,0,0,0,0,0,128,336.7
flat,essel tower,sector 28,2.2,12500.0,1760.0,Carpet area: 1760 (163.51 sq.m.),3.0,4,3+,3.0,,Moderately old,,,1760.0,0,0,0,0,0,1,0,586.6666666666666
flat,sare homes,sector 92,0.71,5354.0,1326.1,Carpet area: 1326 (123.19 sq.m.),3.0,3,3,2.0,North-West,Relatively New,,,1326.0,0,0,0,0,0,0,108,442.0333333333333
flat,afnhb jalvayu vihar,sector 30,1.45,11153.0,1300.1,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1090 sq.ft. (101.26 sq.m.),3.0,2,2,2.0,North,Old Property,,1300.0,1090.0,0,0,0,0,0,1,75,433.3666666666666
house,international city by sobha phase 1,sector 109,6.0,24665.0,2432.64,Plot area 270(225.75 sq.m.),4.0,5,3+,2.0,North,Relatively New,,2430.0,,0,1,0,0,0,2,96,608.16
flat,adani aangan galleria,sector 89,0.42,4941.0,850.0,Super Built up area 850(78.97 sq.m.),2.0,2,2,3.0,,Relatively New,850.0,,,0,0,0,0,0,0,0,425.0
flat,emaar gurgaon greens,sector 102,1.42,8606.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022 sq.ft. (94.95 sq.m.),3.0,3,3,4.0,North,Relatively New,1650.0,,1022.0,0,0,0,0,0,0,49,550.0
flat,oriental valley chs,sector 9,1.5,8108.0,1850.0,Carpet area: 1850 (171.87 sq.m.),4.0,3,3+,8.0,,Moderately old,,,1850.0,0,0,0,0,0,0,35,462.5
flat,sagar apartment,sector 56,1.45,7250.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3.0,3,3+,7.0,South,Old Property,2000.0,1900.0,1800.0,0,0,0,0,0,0,166,666.6666666666666
house,independent,sector 26,13.5,29862.0,4520.84,Plot area 502(419.74 sq.m.),5.0,5,3+,2.0,North-East,Relatively New,,4518.0,,1,1,0,1,1,1,49,904.168
flat,godrej,sector 79,1.33,8531.0,1559.0,Super Built up area 1559(144.84 sq.m.),2.0,2,3,6.0,North-West,Relatively New,1559.0,,,0,0,0,0,0,0,158,779.5
flat,shree vardhman victoria,sector 70,1.9,9743.0,1950.1,Super Built up area 1950(181.16 sq.m.),3.0,3,3,10.0,North-East,New Property,1950.0,,,0,0,0,0,0,0,36,650.0333333333333
flat,emaar digihomes,sector 62,2.15,14257.0,1508.0,Carpet area: 1508 (140.1 sq.m.),2.0,2,3,31.0,,Under Construction,,,1508.0,0,0,0,0,0,0,101,754.0
house,independent,sector 14,5.5,16976.0,3239.93,Plot area 360(301.01 sq.m.)Built Up area: 355 sq.yards (296.83 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),5.0,4,2,2.0,East,Old Property,,355.0,300.0,1,0,0,0,0,0,27,647.986
flat,denso haryana housing society,sector 1,0.9,4308.0,2089.1,Carpet area: 2089 (194.07 sq.m.),3.0,3,3+,5.0,East,Moderately old,,,2089.0,0,0,0,0,0,0,7,696.3666666666667
flat,ireo victory valley,sector 67,3.15,12846.0,2452.1,Super Built up area 2452(227.8 sq.m.),3.0,4,3+,15.0,South,Relatively New,2452.0,,,0,0,0,0,0,2,149,817.3666666666667
flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601.0,915.0,Super Built up area 915(85.01 sq.m.),2.0,2,2,12.0,East,Relatively New,915.0,,,0,0,0,0,0,0,100,457.5
flat,ss the leaf,sector 85,1.25,7179.0,1741.2,Carpet area: 1741 (161.74 sq.m.),2.0,2,2,16.0,North,Relatively New,,,1741.0,0,0,0,0,0,2,49,870.6
house,dlf city plots phase 2,sector 25,7.5,38710.0,1937.5,Plot area 215(179.77 sq.m.),2.0,9,3+,4.0,West,Relatively New,,1935.0,,1,1,0,1,0,2,160,968.75
house,independent,sector 39,1.6,17909.0,893.4,Plot area 892(82.87 sq.m.),1.0,1,2,2.0,,Old Property,,892.0,,0,0,0,0,0,0,40,893.4
flat,micasa sec,sector 48,1.5,12244.0,1225.1,Carpet area: 1225 (113.81 sq.m.),2.0,2,3,11.0,,New Property,,,1225.0,0,0,0,0,0,0,44,612.55
house,independent,sector 48,0.82,3907.0,2098.96,Carpet area: 2100 (195.1 sq.m.),3.0,2,1,1.0,North,Undefined,,,2100.0,0,0,0,0,0,0,0,699.6533333333333
flat,sobha city,sector 108,1.9,13758.0,1381.0,Super Built up area 1381(128.3 sq.m.),2.0,2,2,8.0,East,Relatively New,1381.0,,,0,0,0,0,0,0,85,690.5
flat,emaar emerald hills,sector 65,1.95,13928.0,1400.1,Carpet area: 1400 (130.06 sq.m.),3.0,3,3+,1.0,North-East,New Property,,,1400.0,0,0,0,0,0,2,117,466.7
flat,tata primanti,sector 72,3.21,15000.0,2140.0,Super Built up area 2185(202.99 sq.m.)Built Up area: 2140 sq.ft. (198.81 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3.0,4,3+,15.0,North-East,Relatively New,2185.0,2140.0,2000.0,0,0,0,0,0,2,174,713.3333333333334
flat,ramprastha primera,sector 37,1.1,6111.0,1800.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3.0,3,3,6.0,North-West,Relatively New,1800.0,1700.0,1600.0,0,0,0,0,0,0,149,600.0
flat,pivotal devaan,sector 84,0.34,7039.0,483.0,Carpet area: 483 (44.87 sq.m.),2.0,2,1,1.0,East,Relatively New,,,483.0,0,0,0,0,0,2,84,241.5
flat,sare homes,sector 92,0.5,4237.0,1180.1,Super Built up area 1180(109.63 sq.m.),3.0,3,2,1.0,North,Relatively New,1180.0,,,0,0,0,0,0,0,26,393.3666666666666
flat,aipl zen residences,sector 70,1.25,9904.0,1262.1,Carpet area: 1262 (117.24 sq.m.),2.0,2,3,19.0,,Undefined,,,1262.0,0,0,0,0,0,0,0,631.05
flat,dlf new town heights,sector 91,1.75,7402.0,2364.2,Super Built up area 2364(219.62 sq.m.),4.0,4,3+,9.0,South,Relatively New,2364.0,,,0,0,0,0,0,0,88,591.05
house,independent,sector 24,1.45,2994.0,4843.71,Plot area 60(50.17 sq.m.),3.0,3,1,1.0,,Old Property,,540.0,,0,0,0,0,0,0,9,1614.57
flat,godrej aria,sector 79,0.96,13296.0,722.0,Super Built up area 1351(125.51 sq.m.)Carpet area: 722 sq.ft. (67.08 sq.m.),2.0,2,3,8.0,North-East,Relatively New,1351.0,,722.0,0,0,0,0,0,0,49,361.0
flat,tashee capital gateway,sector 111,0.96,6500.0,1476.9,Super Built up area 1478(137.31 sq.m.),2.0,2,1,4.0,North,Undefined,1478.0,,,0,0,0,0,0,0,53,738.45
house,independent,sector 22,4.75,20059.0,2368.06,Plot area 263(219.9 sq.m.)Built Up area: 261 sq.yards (218.23 sq.m.)Carpet area: 259 sq.yards (216.56 sq.m.),7.0,5,3+,3.0,South-West,Old Property,,261.0,259.0,0,0,0,1,1,2,49,338.2942857142857
flat,ireo the corridors,sector 67,1.85,9531.0,1941.0,Built Up area: 1941 (180.32 sq.m.),3.0,4,3,4.0,East,New Property,,1941.0,,0,0,0,0,0,2,150,647.0
flat,mm antalya hills,sector 79,1.15,7496.0,1534.2,Super Built up area 1534(142.51 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1103 sq.ft. (102.47 sq.m.),3.0,3,3+,1.0,,Undefined,1534.0,1200.0,1103.0,0,0,0,0,0,0,0,511.40000000000003
flat,chd avenue,sector 71,1.1,6790.0,1620.0,Super Built up area 1620(150.5 sq.m.),3.0,3,3,11.0,,Relatively New,1620.0,,,0,0,0,0,0,0,72,540.0
flat,mm the marina,sector 68,1.02,8095.0,1260.0,Super Built up area 1260(117.06 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2.0,2,2,11.0,North-East,Relatively New,1260.0,1250.0,800.0,0,0,0,0,0,2,49,630.0
house,suncity avenue 76,sector 76,0.75,10098.0,742.71,Plot area 745(69.21 sq.m.)Built Up area: 745 sq.ft. (69.21 sq.m.),2.0,2,2,11.0,North-East,New Property,,745.0,,0,0,0,0,0,0,40,371.355
flat,tulip violet,sector 69,1.29,8227.0,1568.0,Super Built up area 1568(145.67 sq.m.),3.0,3,1,12.0,North-East,Relatively New,1568.0,,,0,0,0,0,0,2,86,522.6666666666666
flat,emaar gurgaon greens,sector 102,1.45,8787.0,1650.2,Super Built up area 1650(153.29 sq.m.),3.0,3,3,7.0,North-East,Relatively New,1650.0,,,0,0,0,0,0,0,159,550.0666666666667
flat,mm golfestate,sector 65,5.3,24211.0,2189.1,Super Built up area 2850(264.77 sq.m.)Carpet area: 2189 sq.ft. (203.36 sq.m.),3.0,3,3,38.0,North-East,Moderately old,2850.0,,2189.0,0,0,0,0,0,1,49,729.6999999999999
house,independent,sector 57,6.25,23496.0,2660.0,Plot area 3100(2591.99 sq.m.)Built Up area: 2660 sq.yards (2224.1 sq.m.)Carpet area: 2500 sq.yards (2090.32 sq.m.),9.0,9,3+,3.0,North-East,New Property,,2660.0,2500.0,0,1,0,0,0,2,61,295.55555555555554
flat,mm capital,sector 113,2.51,14800.0,1696.0,Super Built up area 1695(157.47 sq.m.),3.0,3,3+,2.0,North-West,Undefined,1695.0,,,0,0,0,0,0,0,49,565.3333333333334
flat,unitech greenwood city,sector 45,2.4,12346.0,1944.0,Super Built up area 216(180.6 sq.m.),3.0,3,2,1.0,North-West,New Property,216.0,,,0,0,0,0,0,2,19,648.0
flat,jmd gardens,sector 33,3.25,7510.0,4327.6,Carpet area: 4328 (402.08 sq.m.),4.0,4,3+,17.0,South-East,Old Property,,,4328.0,0,0,0,0,0,2,130,1081.9
flat,breez global heights,sector 48,0.39,4105.0,950.1,Super Built up area 950(88.26 sq.m.)Built Up area: 720 sq.ft. (66.89 sq.m.)Carpet area: 610 sq.ft. (56.67 sq.m.),2.0,2,2,3.0,,Relatively New,950.0,720.0,610.0,0,0,0,0,0,0,0,475.05
house,international city by sobha phase 1,sector 109,6.0,9627.0,6232.3,Plot area 692(578.6 sq.m.),4.0,5,3,2.0,North-East,Moderately old,,6228.0,,0,0,0,0,0,0,76,1558.075
flat,bestech park view residency,sector 2,1.26,8051.0,1565.0,Super Built up area 1565(145.39 sq.m.),2.0,2,3,7.0,South-East,Moderately old,1565.0,,,0,0,0,0,0,0,84,782.5
house,independent,sector 25,9.9,29291.0,3379.86,Plot area 375(313.55 sq.m.),5.0,5,2,2.0,South-East,Moderately old,,3375.0,,0,0,0,1,0,2,106,675.972
flat,bptp terra,sector 37,1.55,8558.0,1811.2,Super Built up area 1811(168.25 sq.m.),3.0,3,3+,11.0,South,Relatively New,1811.0,,,0,0,0,0,0,0,79,603.7333333333333
flat,central park flower valley,sector 33,3.3,13750.0,2400.0,Carpet area: 2400 (222.97 sq.m.),3.0,3,3,2.0,,Undefined,,,2400.0,0,0,0,0,0,0,61,800.0
flat,shree vardhman flora,sector 90,0.92,4906.0,1875.2,Super Built up area 1875(174.19 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3.0,4,3,4.0,North-East,Relatively New,1875.0,,1161.0,0,0,0,0,0,0,116,625.0666666666667
flat,shree vardhman flora,sector 90,0.92,4717.0,1950.4,Carpet area: 1950 (181.16 sq.m.),3.0,3,2,6.0,North,Relatively New,,,1950.0,0,0,0,0,0,2,49,650.1333333333333
flat,zara aavaas,sector 104,0.4,7036.0,568.5,Super Built up area 568.46(52.81 sq.m.),2.0,2,1,4.0,North,Relatively New,568.441559,,,0,0,0,0,0,0,52,284.25
flat,ss the leaf,sector 85,1.05,6163.0,1703.7,Super Built up area 1671(155.24 sq.m.),2.0,2,3+,7.0,West,Relatively New,1671.0,,,0,0,0,0,0,0,144,851.85
