property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servent room,store room,furnishing_type,luxury_category,floor_category
flat,sector 22,6.16,4.0,5,3+,New Property,3333.0,0,0,2,Low,Mid Floor
flat,sector 95,0.19,1.0,1,1,Relatively New,3569.0,0,0,0,Low,High Floor
flat,sector 106,1.34,4.0,5,3+,Relatively New,1535.0,0,0,0,Low,Mid Floor
flat,sector 109,1.45,3.0,4,3+,Relatively New,1797.0,0,0,0,Medium,Mid Floor
house,sector 65,12.5,4.0,4,3+,Relatively New,3600.0,1,0,0,Medium,Low Floor
flat,sector 107,0.49,2.0,2,1,Relatively New,598.0,0,0,1,Low,Mid Floor
flat,sector 107,0.38,2.0,2,2,Relatively New,643.0,0,0,1,Low,Mid Floor
flat,sector 70,1.82,3.0,3,3,Relatively New,1600.0,0,0,0,Medium,High Floor
house,sector 43,11.5,7.0,8,3+,Old Property,9000.0,1,1,2,Low,Mid Floor
flat,sector 48,0.28,1.0,1,1,New Property,443.0,0,0,1,Low,Mid Floor
house,sector 48,6.4,4.0,4,3,Moderately old,3282.99,1,1,2,High,Mid Floor
house,sector 3,0.75,2.0,1,0,Old Property,54.0,0,0,0,Low,Low Floor
flat,sector 104,1.3,3.0,3,3,New Property,1569.0,0,0,0,Medium,Mid Floor
flat,sector 2,0.98,2.0,2,3,Moderately old,1348.0,0,0,0,Medium,Low Floor
flat,sector 65,1.99,2.0,2,2,Relatively New,1200.0,0,0,0,Low,High Floor
flat,sector 106,1.2,3.0,3,3,Relatively New,1145.0,0,0,0,High,High Floor
flat,sector 3,1.35,2.0,2,0,Relatively New,1056.0,0,0,0,Medium,Mid Floor
flat,sector 69,0.74,3.0,3,1,Under Construction,1273.0,0,0,0,Medium,Mid Floor
house,sector 57,3.5,4.0,4,3+,Old Property,1625.35,0,1,2,Medium,Mid Floor
flat,sector 69,1.19,2.0,3,1,Relatively New,1500.0,0,0,0,High,Low Floor
flat,sector 109,1.4,3.0,3,3+,Relatively New,1466.0,0,0,0,Low,Mid Floor
flat,sector 48,1.05,2.0,2,3,New Property,1175.97,0,0,0,Low,Low Floor
flat,sector 56,2.05,4.0,4,3+,Relatively New,2500.0,0,0,2,Medium,Mid Floor
flat,sector 84,0.89,3.0,3,3,Relatively New,1929.0,0,0,0,Medium,Mid Floor
flat,sector 107,0.5,2.0,2,1,Relatively New,520.0,0,0,0,Medium,High Floor
flat,sector 92,0.85,3.0,3,0,Relatively New,1497.0,0,0,0,Medium,Low Floor
flat,sector 111,2.35,3.0,3,3+,Relatively New,1615.0,0,0,0,Low,Mid Floor
flat,sector 92,0.95,4.0,3,3,Moderately old,1863.0,0,0,0,Medium,Mid Floor
house,sector 2,5.7,9.0,9,3+,Moderately old,2430.0,0,0,2,Low,Mid Floor
flat,sector 102,1.45,3.0,3,3,Relatively New,1300.0,0,0,0,Low,Mid Floor
flat,sector 81,4.45,4.0,4,3+,Relatively New,3850.0,0,0,2,Low,Mid Floor
flat,sector 43,2.5,3.0,3,2,New Property,205.0,0,0,0,Low,Low Floor
flat,sector 102,1.4,3.0,3,3,Relatively New,1354.0,0,0,0,Medium,Mid Floor
house,sector 54,25.0,4.0,4,3+,Moderately old,9000.0,1,1,0,Low,Low Floor
flat,sector 99,1.02,2.0,2,3,Relatively New,1430.0,0,0,0,High,Mid Floor
flat,sector 37,1.6,4.0,3,3+,Relatively New,2000.0,0,0,2,Medium,Mid Floor
flat,sector 108,1.55,3.0,3,3+,Relatively New,1750.0,0,0,2,High,Mid Floor
flat,sector 92,1.25,3.0,3,3,Relatively New,2278.0,0,0,0,Low,High Floor
house,sector 43,14.0,9.0,9,3+,Moderately old,3510.0,1,0,0,Low,Mid Floor
flat,sector 86,1.72,3.0,3,1,Relatively New,1837.0,0,0,2,Low,Mid Floor
flat,sector 61,2.1,3.0,3,3,Relatively New,1635.0,0,0,2,Low,High Floor
house,sector 5,3.5,5.0,4,2,Old Property,2367.0,0,0,0,Low,Low Floor
flat,sector 65,3.0,3.0,3,3,Under Construction,1741.0,0,0,0,Medium,High Floor
flat,sector 33,2.3,4.0,4,3+,New Property,2000.0,0,0,0,Low,Mid Floor
flat,sector 56,2.45,4.0,4,3+,Relatively New,2900.0,0,0,2,Medium,Low Floor
flat,sector 48,0.78,2.0,2,2,Relatively New,1204.0,0,0,0,Medium,Mid Floor
flat,sector 51,0.3,1.0,1,0,Moderately old,80.0,0,0,0,Low,Low Floor
flat,sector 65,2.86,3.0,3,3,Relatively New,2267.0,0,0,0,Low,High Floor
house,sector 7,1.75,4.0,2,2,Old Property,1575.0,0,0,0,Low,Low Floor
flat,sector 41,2.75,3.0,3,2,Old Property,1640.0,0,0,1,Medium,High Floor
flat,sector 79,1.85,3.0,4,3,New Property,1729.0,0,0,0,Low,High Floor
flat,sector 110,3.7,4.0,5,3,Relatively New,3238.0,0,0,0,High,Mid Floor
house,sector 49,4.4,6.0,6,3,Moderately old,2880.0,1,1,1,Medium,Mid Floor
flat,sector 93,0.85,2.0,2,0,Relatively New,597.0,0,0,0,Low,Mid Floor
flat,sector 110,3.4,4.0,5,3,Relatively New,3238.0,0,0,0,Medium,Mid Floor
flat,sector 85,0.67,2.0,2,2,Relatively New,1250.0,0,0,2,High,Mid Floor
house,sector 66,12.0,5.0,6,3+,New Property,3150.0,1,0,0,Low,Mid Floor
house,sector 41,2.65,3.0,3,3,New Property,2163.54,1,0,2,Low,Mid Floor
flat,sector 88,1.1,2.0,4,3+,Under Construction,1350.0,0,0,0,Medium,Low Floor
flat,sector 111,5.25,4.0,6,3+,Relatively New,4286.0,0,0,2,Medium,Mid Floor
flat,sector 103,1.25,3.0,3,3+,New Property,1510.0,0,0,0,Medium,Low Floor
house,sector 57,6.0,4.0,5,2,Old Property,2700.0,1,0,2,Low,Low Floor
house,sector 4,0.61,2.0,2,2,Moderately old,61.0,0,0,0,Low,Low Floor
flat,sector 90,1.88,4.0,4,3+,Relatively New,2726.0,0,0,0,Medium,High Floor
flat,sector 74,1.52,2.0,2,3,Relatively New,1250.0,0,0,0,High,Mid Floor
flat,sector 59,1.53,3.0,3,3,New Property,1589.0,0,0,2,Medium,Low Floor
house,sector 26,18.0,5.0,4,3+,Moderately old,4518.0,1,1,2,Medium,Mid Floor
flat,sector 113,1.65,3.0,2,2,Relatively New,1420.0,0,0,0,Low,Mid Floor
flat,sector 81,2.5,3.0,3,2,Relatively New,1700.0,0,0,1,High,High Floor
flat,sector 79,1.45,3.0,3,3,Relatively New,2161.0,0,0,0,Low,Mid Floor
flat,sector 69,1.68,4.0,4,2,Relatively New,1914.0,0,0,0,Medium,Mid Floor
flat,sector 48,0.25,1.0,1,1,Relatively New,395.0,0,0,0,Medium,Low Floor
house,sector 38,3.5,3.0,2,3,Moderately old,1453.13,0,1,2,Medium,Low Floor
flat,sector 103,0.23,1.0,1,1,Relatively New,400.0,0,0,0,Low,Mid Floor
flat,sector 85,1.04,2.0,3,3+,Relatively New,1658.0,0,0,0,Medium,Mid Floor
house,sector 38,4.0,6.0,6,3+,Old Property,1840.63,1,0,2,Medium,Mid Floor
flat,sector 108,2.28,4.0,5,3+,Relatively New,2647.0,0,0,0,Medium,Mid Floor
flat,sector 63,0.7,1.0,1,0,Relatively New,693.0,0,0,0,Low,Mid Floor
flat,sector 95,0.96,3.0,3,3,New Property,1720.0,0,0,0,Low,Mid Floor
flat,sector 111,3.9,4.0,5,3+,Relatively New,3067.0,0,0,1,High,Mid Floor
flat,sector 69,1.4,3.0,3,1,Relatively New,1413.0,0,0,0,High,High Floor
flat,sector 37,1.25,3.0,3,3,Relatively New,1604.0,0,0,0,Low,Low Floor
house,sector 4,0.75,2.0,4,3,Moderately old,640.0,0,0,0,Low,Low Floor
flat,sector 84,1.52,3.0,4,3,Relatively New,1749.0,0,0,0,Medium,High Floor
flat,sector 56,0.6,1.0,1,1,Moderately old,571.0,0,0,0,Low,Low Floor
flat,sector 92,0.9,3.0,2,3,Relatively New,1305.0,0,0,0,Medium,High Floor
house,sector 23,4.0,3.0,3,2,Moderately old,2430.0,1,0,2,Medium,Low Floor
house,sector 92,1.8,4.0,5,0,Relatively New,2360.0,0,0,0,Low,High Floor
flat,sector 86,1.3,3.0,3,3,Moderately old,1838.0,0,0,2,High,High Floor
house,sector 50,12.5,6.0,5,3,Moderately old,3078.0,1,0,2,Low,Mid Floor
flat,sector 77,2.25,3.0,3,3,New Property,1905.0,0,0,2,Low,High Floor
flat,sector 81,0.89,2.0,2,2,Relatively New,1194.0,0,0,0,Low,Mid Floor
flat,sector 102,2.4,3.0,4,3+,Relatively New,2395.0,0,0,2,Low,Mid Floor
flat,sector 1,0.81,3.0,3,3+,Moderately old,1900.0,0,0,0,Medium,Low Floor
flat,sector 28,1.24,2.0,2,3+,Moderately old,1050.0,0,0,2,High,High Floor
flat,sector 82,0.63,2.0,2,3+,Relatively New,1080.0,0,0,0,Medium,Low Floor
flat,sector 74,1.54,2.0,2,3+,Relatively New,1200.0,0,0,0,Medium,High Floor
house,sector 49,6.75,5.0,4,2,Old Property,3420.0,1,1,0,Medium,Low Floor
flat,sector 107,1.35,3.0,4,3+,Relatively New,1950.0,0,0,2,Medium,Mid Floor
house,sector 57,3.3,4.0,4,2,Moderately old,1732.99,0,1,2,Medium,Mid Floor
flat,sector 85,1.73,4.0,5,3+,Relatively New,2017.0,0,0,0,Low,Mid Floor
flat,sector 28,1.0,1.0,1,1,Old Property,1048.0,0,0,2,Medium,Low Floor
flat,sector 85,1.07,2.0,2,3,Relatively New,1562.0,0,0,0,Medium,High Floor
flat,sector 10,1.1,3.0,3,3,Moderately old,1833.0,0,0,0,Low,Low Floor
flat,sector 70,1.1,2.0,2,2,Relatively New,1381.0,0,0,0,Low,Mid Floor
flat,sector 90,1.13,3.0,3,3+,Relatively New,1648.0,0,0,0,Medium,Mid Floor
flat,sector 48,0.4,2.0,2,1,New Property,629.0,0,0,0,Low,Mid Floor
flat,sector 63,3.35,3.0,3,3+,New Property,2034.0,0,0,2,Low,Mid Floor
flat,sector 106,3.9,3.0,3,0,Relatively New,2450.0,0,0,0,Medium,High Floor
flat,sector 53,6.5,4.0,5,3+,Relatively New,3000.0,0,0,2,High,Mid Floor
flat,sector 10,0.8,2.0,3,2,New Property,1389.0,0,0,0,Low,Mid Floor
flat,sector 102,2.5,3.0,3,3,Relatively New,1740.0,0,0,0,High,High Floor
flat,sector 71,0.39,1.0,1,2,New Property,310.0,0,0,0,Low,Low Floor
house,sector 23,5.5,8.0,8,2,Moderately old,2520.0,1,0,2,Medium,Mid Floor
flat,sector 107,1.8,3.0,4,3+,Relatively New,1893.0,0,0,0,Medium,Low Floor
flat,sector 84,1.24,3.0,3,3,Relatively New,1650.0,0,0,2,High,Mid Floor
flat,sector 57,2.5,3.0,3,3,Moderately old,2143.0,0,0,0,Medium,Mid Floor
flat,sector 103,0.93,2.0,3,3,Relatively New,1613.0,0,0,2,Medium,Mid Floor
flat,sector 85,2.6,3.0,3,3,Relatively New,2129.0,0,0,0,Low,High Floor
flat,sector 62,2.1,2.0,2,3,New Property,1500.0,0,0,2,Low,High Floor
flat,sector 107,0.29,2.0,2,2,Relatively New,543.0,0,0,0,Low,Mid Floor
flat,sector 37,0.99,3.0,4,3,Relatively New,1703.0,0,0,0,Low,Mid Floor
flat,sector 92,0.66,3.0,2,2,Relatively New,1473.0,0,0,1,Low,High Floor
flat,sector 69,1.76,4.0,4,2,Relatively New,1914.0,0,0,0,Medium,Mid Floor
flat,sector 102,1.3,2.0,2,3,Relatively New,1009.0,0,0,0,Medium,Low Floor
house,sector 15,0.8,3.0,5,3+,Old Property,990.0,0,0,0,Low,Mid Floor
flat,sector 84,2.28,4.0,4,3+,Relatively New,3080.0,0,0,0,Medium,Mid Floor
flat,sector 84,0.37,2.0,2,1,Relatively New,546.0,0,0,0,Medium,Mid Floor
house,sector 46,4.25,5.0,4,2,Moderately old,1840.63,0,1,2,Medium,Mid Floor
flat,sector 106,1.4,4.0,6,3+,Relatively New,1535.0,0,0,0,High,Mid Floor
flat,sector 92,0.42,3.0,3,1,Relatively New,711.0,0,0,0,Low,Low Floor
flat,sector 88,1.15,2.0,2,3,Relatively New,1418.0,0,0,0,High,High Floor
flat,sector 62,9.95,4.0,6,3,Relatively New,4045.0,0,0,2,Medium,High Floor
flat,sector 12,0.6,2.0,2,1,New Property,800.0,0,0,1,Low,Low Floor
flat,sector 69,1.36,3.0,3,1,Relatively New,1465.0,0,0,0,Medium,High Floor
flat,sector 80,0.85,1.0,1,1,Relatively New,761.0,0,0,0,Medium,High Floor
flat,sector 67,3.4,3.0,4,3,Relatively New,2072.0,0,0,2,High,High Floor
flat,sector 89,0.95,2.0,2,2,New Property,1226.0,0,0,0,Low,Mid Floor
flat,sector 69,1.9,4.0,4,2,Relatively New,1914.0,0,0,0,Low,Low Floor
flat,sector 90,1.76,4.0,4,3+,Relatively New,2020.0,0,0,2,Medium,Mid Floor
house,sector 50,6.8,4.0,4,3+,Old Property,2160.0,1,0,0,Medium,Low Floor
flat,sector 67,1.2,3.0,3,2,Relatively New,200.0,0,0,0,Low,Low Floor
flat,sector 81,0.6,2.0,2,1,Under Construction,857.0,0,0,0,Low,Low Floor
house,sector 109,6.3,4.0,5,3+,Relatively New,7000.0,0,0,2,Medium,Low Floor
flat,sector 85,1.3,2.0,2,3,Relatively New,1163.0,0,0,0,Medium,High Floor
flat,sector 109,1.7,3.0,3,3,Relatively New,1550.0,0,0,0,Medium,High Floor
flat,sector 71,0.95,2.0,2,0,Moderately old,1200.0,0,0,0,Low,Mid Floor
flat,sector 65,3.67,3.0,3,2,Relatively New,2040.0,0,0,0,Low,High Floor
house,sector 7,0.9,2.0,4,3,Old Property,900.0,1,0,2,Low,Mid Floor
flat,sector 95,0.2,1.0,1,1,Relatively New,407.0,0,0,0,Medium,Low Floor
flat,sector 77,1.4,3.0,3,3,Relatively New,1735.0,0,0,0,Low,Mid Floor
flat,sector 69,3.25,4.0,5,3+,Relatively New,3063.0,0,0,0,Low,High Floor
flat,sector 104,1.35,4.0,5,3+,Relatively New,3000.0,0,0,0,Medium,Low Floor
flat,sector 37,0.38,2.0,2,1,Relatively New,925.0,0,0,0,Medium,Mid Floor
flat,sector 68,1.1,2.0,2,3,Relatively New,1150.0,0,0,2,Medium,Low Floor
house,sector 4,1.25,2.0,3,0,Moderately old,160.0,0,0,0,Low,Low Floor
flat,sector 107,0.28,2.0,2,2,Relatively New,543.0,0,0,0,Low,Mid Floor
house,sector 50,10.45,5.0,7,3+,Moderately old,3240.0,1,0,2,High,Mid Floor
flat,sector 68,1.05,2.0,2,2,New Property,1200.0,0,0,2,Medium,High Floor
flat,sector 72,4.1,4.0,5,3+,New Property,2767.0,0,0,0,Medium,High Floor
house,sector 89,1.25,3.0,3,2,New Property,1423.0,0,0,0,Low,Low Floor
flat,sector 53,4.8,3.0,4,3+,Relatively New,2500.0,0,0,2,High,Mid Floor
flat,sector 66,3.4,4.0,4,3+,Relatively New,2210.0,0,0,2,High,Low Floor
flat,sector 81,1.45,3.0,2,3+,Relatively New,1392.0,0,0,0,Low,Mid Floor
flat,sector 39,2.0,5.0,4,3,Old Property,3556.0,0,0,1,Low,Mid Floor
flat,sector 90,1.51,4.0,4,3+,Relatively New,2362.0,0,0,2,Medium,Mid Floor
flat,sector 88,1.0,2.0,2,3,Relatively New,1611.0,0,0,0,Medium,Mid Floor
flat,sector 65,2.35,3.0,3,3,Relatively New,1571.0,0,0,2,High,Low Floor
flat,sector 61,2.2,3.0,3,2,New Property,1778.0,0,0,0,Low,Low Floor
flat,sector 69,0.62,2.0,2,1,Relatively New,536.0,0,0,2,Medium,Mid Floor
flat,sector 73,0.9,3.0,3,3,Under Construction,1622.0,0,0,0,Medium,Mid Floor
flat,sector 89,1.2,3.0,3,2,New Property,1423.0,0,0,0,Low,Low Floor
house,sector 9,3.2,3.0,3,2,Old Property,2367.0,0,0,2,Low,Low Floor
flat,sector 108,1.65,3.0,4,3,Moderately old,1771.32,0,0,2,Medium,Mid Floor
flat,sector 107,1.45,3.0,4,3+,Relatively New,1900.0,0,0,0,Medium,Mid Floor
flat,sector 53,7.4,4.0,4,3,Relatively New,2477.0,0,0,0,Low,High Floor
flat,sector 70,1.65,3.0,5,3,Relatively New,1574.0,0,0,0,High,Mid Floor
flat,sector 108,0.65,2.0,2,2,Relatively New,1300.0,0,0,2,High,Mid Floor
flat,sector 67,3.49,3.0,3,3,Relatively New,2724.0,0,0,0,Medium,High Floor
house,sector 102,0.7,1.0,3,2,Relatively New,720.0,0,1,0,Low,Mid Floor
flat,sector 43,1.5,3.0,3,3+,Old Property,1385.0,0,0,2,High,Mid Floor
flat,sector 48,1.1,2.0,2,3+,Relatively New,1388.0,0,0,2,Low,High Floor
house,sector 70,1.04,3.0,3,3+,Relatively New,1611.0,0,0,2,Medium,Low Floor
flat,sector 3,1.3,2.0,2,2,Under Construction,1604.0,0,0,0,Low,Mid Floor
flat,sector 104,1.85,3.0,3,3+,Relatively New,2181.0,0,0,0,High,High Floor
house,sector 11,1.2,7.0,3,0,Moderately old,300.0,0,0,0,Low,Mid Floor
flat,sector 79,1.9,3.0,4,3,Under Construction,2048.0,0,0,0,Medium,High Floor
flat,sector 72,3.2,4.0,4,3+,Moderately old,2600.0,0,0,2,High,Mid Floor
flat,sector 107,0.25,1.0,1,0,Relatively New,318.0,0,0,0,Medium,Low Floor
flat,sector 9,0.88,3.0,3,2,Old Property,1481.0,0,0,2,Low,Low Floor
house,sector 50,7.1,5.0,4,3,Moderately old,2163.54,0,1,2,Medium,Low Floor
house,sector 105,0.43,3.0,3,3,Relatively New,1050.0,0,0,0,Low,Low Floor
house,sector 57,9.25,5.0,5,3+,Relatively New,5780.21,1,1,2,High,Mid Floor
flat,sector 92,1.18,4.0,4,3,Relatively New,2518.0,0,0,0,Medium,Mid Floor
flat,sector 107,0.82,2.0,2,3+,Relatively New,1301.0,0,0,0,Medium,Mid Floor
flat,sector 65,5.9,3.0,3,3,Relatively New,3203.0,0,0,0,Medium,High Floor
flat,sector 104,2.55,4.0,4,3+,Relatively New,2361.0,0,0,0,Low,Mid Floor
flat,sector 92,0.51,3.0,2,2,Relatively New,1190.0,0,0,0,Medium,Low Floor
flat,sector 83,1.42,4.0,4,3,Relatively New,2000.0,0,0,0,Medium,Mid Floor
flat,sector 36,0.42,2.0,2,1,New Property,590.0,0,0,0,Low,Mid Floor
flat,sector 79,0.78,2.0,2,3+,Relatively New,1233.0,0,0,0,Low,High Floor
flat,sector 71,1.15,3.0,3,2,Moderately old,1583.0,0,0,2,Medium,High Floor
flat,sector 102,2.5,4.0,5,3+,Relatively New,3046.0,0,0,0,Medium,Mid Floor
flat,sector 50,8.5,4.0,4,3,Moderately old,11111.0,0,0,0,Low,Mid Floor
flat,sector 23,0.55,2.0,2,1,Moderately old,1048.0,0,0,2,Low,Low Floor
flat,sector 90,1.95,4.0,4,3+,Relatively New,2521.0,0,0,0,High,High Floor
flat,sector 10,2.3,6.0,4,2,Moderately old,3951.0,0,0,0,Low,Mid Floor
flat,sector 63,1.65,2.0,2,2,Relatively New,1030.0,0,0,0,Low,Low Floor
flat,sector 85,1.1,2.0,2,3+,Relatively New,1506.0,0,0,0,Medium,Mid Floor
flat,sector 56,1.54,3.0,3,2,Old Property,1920.0,0,0,2,Medium,Mid Floor
flat,sector 109,1.7,3.0,3,3,Moderately old,1550.0,0,0,0,Low,High Floor
flat,sector 81,3.5,4.0,5,3+,Relatively New,2648.0,0,0,1,High,Mid Floor
house,sector 55,3.55,4.0,4,3+,Old Property,1453.13,0,0,2,Low,Low Floor
house,sector 82,5.0,4.0,4,3+,Relatively New,3240.0,1,1,0,Low,Mid Floor
flat,sector 71,0.37,1.0,1,2,Relatively New,425.0,0,0,2,Low,Low Floor
flat,sector 79,1.28,3.0,3,3,Relatively New,1433.0,0,0,0,High,Mid Floor
house,sector 12,3.5,3.0,3,1,Old Property,2000.0,0,0,0,Low,Low Floor
flat,sector 83,0.98,2.0,2,3,Relatively New,1300.0,0,0,2,Medium,Mid Floor
house,sector 12,0.38,3.0,3,3,Relatively New,900.0,0,0,0,Low,Mid Floor
flat,sector 89,1.3,3.0,3,3+,New Property,2122.0,0,0,0,Low,Low Floor
flat,sector 48,0.3,2.0,2,2,New Property,620.0,0,0,0,Medium,Mid Floor
flat,sector 108,2.5,3.0,3,2,New Property,1480.0,0,0,0,High,High Floor
house,sector 48,4.75,7.0,7,3,Moderately old,2340.0,0,0,2,Low,Low Floor
flat,sector 109,1.97,4.0,4,2,Relatively New,2505.0,0,0,0,Low,High Floor
flat,sector 95,0.8,2.0,2,3,New Property,734.0,0,0,0,Medium,Mid Floor
flat,sector 95,0.41,2.0,2,2,New Property,670.0,0,0,2,Medium,High Floor
flat,sector 70,1.5,3.0,5,3,Relatively New,1574.0,0,0,2,High,Mid Floor
flat,sector 102,2.61,3.0,3,3,Relatively New,2200.0,0,0,0,Low,High Floor
flat,sector 95,0.45,2.0,2,1,Relatively New,933.0,0,0,0,Medium,Low Floor
house,sector 91,2.5,4.0,4,3+,Moderately old,3400.0,1,1,2,Medium,Mid Floor
house,sector 13,9.0,10.0,5,3+,Old Property,8137.53,0,0,0,Low,Mid Floor
house,sector 2,4.0,4.0,4,3+,Moderately old,2400.0,1,0,0,Low,Low Floor
house,sector 70,1.18,3.0,3,3+,Relatively New,1611.0,0,0,2,High,Low Floor
flat,sector 50,3.0,3.0,3,3+,Old Property,2481.0,0,0,2,Medium,High Floor
flat,sector 69,1.44,3.0,3,2,Relatively New,1418.0,0,0,0,High,Low Floor
flat,sector 90,1.25,3.0,3,3,Relatively New,1640.0,0,0,0,High,Mid Floor
flat,sector 107,0.5,3.0,2,2,Relatively New,717.0,0,0,0,Low,Mid Floor
flat,sector 86,0.95,3.0,2,1,New Property,1878.0,0,0,0,Low,Mid Floor
flat,sector 109,2.22,3.0,4,3,Relatively New,1860.0,0,0,0,Low,High Floor
flat,sector 1,0.91,3.0,3,3+,Moderately old,1900.0,0,0,0,Low,Mid Floor
house,sector 17,8.5,4.0,4,2,Old Property,4520.84,1,0,2,Low,Low Floor
house,sector 2,5.2,4.0,5,2,Moderately old,5200.0,0,0,0,Low,Low Floor
flat,sector 59,5.5,3.0,3,1,New Property,2881.0,0,0,0,Low,High Floor
house,sector 70,4.02,4.0,4,3+,Relatively New,5500.0,1,1,0,Medium,Mid Floor
house,sector 67,3.0,4.0,4,0,Moderately old,2800.0,0,0,0,Low,Mid Floor
flat,sector 79,0.95,2.0,2,3,Relatively New,1611.0,0,0,2,High,Mid Floor
flat,sector 108,2.6,3.0,3,2,New Property,1711.1,0,0,0,Low,High Floor
house,sector 7,6.5,3.0,2,3+,Old Property,4320.0,0,0,0,Low,Low Floor
flat,sector 37,1.71,3.0,3,3+,Relatively New,2191.0,0,0,0,Low,Mid Floor
flat,sector 92,0.5,2.0,2,3,Relatively New,1000.0,0,0,0,Low,Low Floor
house,sector 57,4.7,3.0,3,2,Old Property,2160.0,1,0,0,Low,Low Floor
flat,sector 77,1.9,3.0,4,3+,New Property,1629.0,0,0,2,Low,Mid Floor
flat,sector 66,3.0,4.0,5,3+,Relatively New,2000.0,0,0,2,Low,Mid Floor
flat,sector 33,1.1,2.0,2,2,New Property,1275.0,0,0,0,Low,Mid Floor
flat,sector 74,1.6,2.0,2,2,New Property,1339.0,0,0,0,Low,High Floor
flat,sector 112,5.6,4.0,6,3+,Moderately old,3662.34,0,0,2,High,High Floor
flat,sector 95,0.25,1.0,1,1,New Property,362.0,0,0,0,Low,Mid Floor
house,sector 109,1.87,3.0,4,0,Relatively New,2150.0,0,0,0,Low,High Floor
flat,sector 37,1.72,3.0,3,3+,Relatively New,2087.0,0,0,0,Low,Mid Floor
flat,sector 61,1.6,2.0,2,2,New Property,1278.0,0,0,0,Low,Mid Floor
flat,sector 113,2.0,3.0,3,2,Under Construction,1586.0,0,0,0,Low,High Floor
flat,sector 102,1.4,3.0,3,3,Relatively New,1571.0,0,0,2,Medium,Mid Floor
flat,sector 37,1.0,3.0,3,3+,Relatively New,1708.0,0,0,2,Low,Mid Floor
flat,sector 91,1.9,4.0,4,3,Relatively New,2594.0,0,0,0,Medium,Mid Floor
flat,sector 54,11.0,4.0,5,3+,Relatively New,3444.0,0,0,0,Low,Mid Floor
flat,sector 2,0.56,1.0,1,2,Moderately old,722.0,0,0,0,Medium,Mid Floor
flat,sector 112,3.75,3.0,5,3+,Relatively New,2669.0,0,0,2,Low,High Floor
flat,sector 86,0.9,3.0,3,2,New Property,1690.0,0,0,0,Low,Mid Floor
flat,sector 81,4.2,4.0,4,3+,Relatively New,3611.0,0,0,2,Medium,High Floor
flat,sector 67,2.0,3.0,3,3,New Property,1667.0,0,0,0,Low,High Floor
flat,sector 33,2.1,3.0,3,2,Under Construction,1704.0,0,0,0,Low,Mid Floor
flat,sector 113,2.57,4.0,5,3+,New Property,2060.0,0,0,2,Medium,High Floor
flat,sector 113,3.0,3.0,3,3+,Relatively New,2460.0,0,0,0,High,Mid Floor
flat,sector 50,1.8,3.0,4,3+,Moderately old,1870.0,0,0,2,High,Mid Floor
house,sector 17,9.5,8.0,8,3,Relatively New,4520.84,0,0,2,Low,Mid Floor
flat,sector 51,3.55,5.0,6,3+,Moderately old,5200.0,0,0,2,High,High Floor
flat,sector 33,1.27,2.0,2,3+,New Property,1317.0,0,0,0,Low,Mid Floor
flat,sector 82,0.86,2.0,2,2,Relatively New,1362.0,0,0,2,Medium,High Floor
flat,sector 81,0.9,3.0,3,0,Relatively New,1780.0,0,0,0,Low,Mid Floor
flat,sector 108,0.97,2.0,2,3,Relatively New,1167.0,0,0,0,High,Mid Floor
house,sector 28,9.0,6.0,7,3+,Moderately old,3240.0,1,1,0,Medium,Mid Floor
flat,sector 88,1.31,2.0,2,3+,Relatively New,1540.0,0,0,0,Medium,Mid Floor
house,sector 3,0.92,4.0,1,0,Relatively New,603.0,0,0,0,Low,Low Floor
flat,sector 47,1.05,2.0,2,2,Relatively New,1108.0,0,0,2,Low,Mid Floor
flat,sector 79,1.55,3.0,4,3,Relatively New,1459.0,0,0,2,High,High Floor
flat,sector 99,0.32,2.0,2,1,New Property,591.0,0,0,0,Low,Low Floor
flat,sector 102,2.35,3.0,3,3,Relatively New,2474.0,0,0,2,High,High Floor
flat,sector 59,0.95,3.0,3,3,Old Property,1778.0,0,0,0,Low,High Floor
house,sector 48,8.5,4.0,5,3+,Moderately old,4000.0,1,0,2,Low,Low Floor
flat,sector 83,1.72,3.0,3,3,Relatively New,1600.0,0,0,2,High,Mid Floor
house,sector 26,15.0,4.0,4,3,Moderately old,4500.0,1,1,2,Low,Mid Floor
flat,sector 82,1.12,3.0,4,2,Relatively New,1500.0,0,0,0,High,Mid Floor
house,sector 25,9.0,5.0,5,3,Old Property,2700.0,1,1,0,Medium,Mid Floor
house,sector 17,2.98,2.0,6,3+,Relatively New,1453.13,0,0,0,Medium,Mid Floor
flat,sector 37,1.72,3.0,3,3,Relatively New,1416.0,0,0,2,Low,Mid Floor
flat,sector 70,1.2,2.0,2,3,Moderately old,1352.0,0,0,0,Low,Mid Floor
flat,sector 90,1.65,4.0,4,3+,Moderately old,2251.0,0,0,2,Medium,High Floor
house,sector 11,3.08,6.0,4,2,Moderately old,2700.0,0,0,0,Low,Low Floor
flat,sector 91,2.0,4.0,4,3+,Moderately old,2597.0,0,0,0,Medium,High Floor
flat,sector 37,1.45,3.0,3,3,Relatively New,1711.0,0,0,0,Medium,Mid Floor
flat,sector 33,1.35,3.0,2,3+,New Property,1483.0,0,0,0,Low,High Floor
flat,sector 81,2.3,3.0,4,3+,Relatively New,1875.0,0,0,2,Medium,High Floor
