property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servent room,store room,furnishing_type,luxury_category,floor_category
flat,sector 69,1.29,3.0,3,1,Relatively New,1493.0,0,0,2,Medium,High Floor
flat,sector 102,1.45,3.0,3,3,Relatively New,1571.0,0,0,0,High,Mid Floor
flat,sector 65,5.3,3.0,3,3,Moderately old,2573.0,0,0,1,Low,High Floor
house,sector 57,6.25,9.0,9,3+,New Property,2660.0,1,0,2,Medium,Mid Floor
flat,sector 113,2.51,3.0,3,3+,New Property,1696.0,0,0,0,Low,Low Floor
flat,sector 45,2.4,3.0,3,2,New Property,206.0,0,0,2,Low,Low Floor
flat,sector 33,3.25,4.0,4,3+,Old Property,4809.0,0,0,2,Medium,High Floor
flat,sector 48,0.39,2.0,2,2,Relatively New,720.0,0,0,0,Low,Mid Floor
house,sector 109,6.0,4.0,5,3,Moderately old,6228.0,0,0,0,Medium,Low Floor
flat,sector 2,1.26,2.0,2,3,Moderately old,1490.0,0,0,0,Medium,Mid Floor
house,sector 25,9.9,5.0,5,2,Moderately old,3375.0,0,0,2,Medium,Low Floor
flat,sector 37,1.55,3.0,3,3+,Relatively New,1725.0,0,0,0,Medium,High Floor
flat,sector 33,3.3,3.0,3,3,New Property,2667.0,0,0,0,Medium,Low Floor
flat,sector 90,0.92,3.0,4,3,Relatively New,1538.0,0,0,0,Medium,Mid Floor
flat,sector 90,0.92,3.0,3,2,Relatively New,2167.0,0,0,2,Low,Mid Floor
flat,sector 104,0.4,2.0,2,1,Relatively New,541.0,0,0,0,Medium,Mid Floor
flat,sector 85,1.05,2.0,2,3+,Relatively New,1591.0,0,0,0,Medium,Mid Floor
house,sector 108,1.7,4.0,4,3+,Relatively New,3000.0,0,0,0,Low,Low Floor
house,sector 12,2.0,5.0,5,2,Old Property,1350.0,0,0,0,Low,Mid Floor
flat,sector 88,2.1,4.0,4,3,New Property,1745.0,0,0,0,Medium,Low Floor
flat,sector 37,0.87,2.0,3,3+,New Property,1503.0,0,0,0,Low,Mid Floor
flat,sector 90,1.42,4.0,4,3+,Moderately old,2251.0,0,0,0,Low,Mid Floor
flat,sector 86,1.3,3.0,3,3,Relatively New,1715.0,0,0,2,Low,High Floor
house,sector 13,1.25,3.0,6,2,Old Property,115.0,0,0,0,Low,Mid Floor
flat,sector 110,4.1,5.0,5,2,Relatively New,3500.0,0,0,0,High,Mid Floor
flat,sector 86,1.4,4.0,4,3+,Relatively New,2244.0,0,0,0,Medium,High Floor
flat,sector 69,1.66,3.0,3,2,Relatively New,1560.0,0,0,0,High,Low Floor
flat,sector 65,3.0,4.0,4,3+,Relatively New,1975.1,0,0,0,Medium,Low Floor
house,sector 38,4.0,9.0,9,3+,Relatively New,4800.0,0,1,2,High,Low Floor
flat,sector 22,3.5,3.0,4,3+,New Property,2000.0,0,0,2,Medium,Mid Floor
flat,sector 83,1.8,3.0,4,0,Relatively New,1900.0,0,0,0,Medium,Mid Floor
flat,sector 69,1.46,3.0,3,2,Relatively New,1503.0,0,0,2,High,Low Floor
flat,sector 36,0.41,2.0,2,3,New Property,654.0,0,0,0,Low,Mid Floor
