property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servent room,store room,pooja room,others,Chimney,Modular Kitchen,Microwave,AC,Geyser,Bed,Light,Dining Table,Stove,Sofa,Water Purifier,Fridge,Curtains,Exhaust Fan,TV,Wardrobe,Fan,Washing Machine,furnishing_type,luxury_score
flat,paras quartier,sector 59,5.9,11028.0,5350.0,Super Built up area 5350(497.03 sq.m.),4,4,3+,19.0,East,New Property,5350.0,,,0,0,0,0,0,1,1,0,5,0,0,10,0,0,0,0,0,0,1,0,0,4,0,1,160
house,unitech uniworld resorts,sector 33,10.0,181818.0,548.96,Plot area 550(51.1 sq.m.),5,6,3,4.0,North-East,New Property,,550.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
house,independent,sector 54,5.5,38194.0,1442.36,Plot area 160(133.78 sq.m.),18,18,3+,4.0,South-West,Relatively New,,1440.0,,0,1,0,0,0,1,1,1,18,18,36,40,0,0,0,1,1,0,1,18,36,22,1,2,70
flat,beverley park,sector 43,8.44,16230.0,5200.2,Super Built up area 5200(483.1 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4900 sq.ft. (455.22 sq.m.),4,5,3,9.0,North-East,Moderately old,5200.0,5000.0,4900.0,0,0,0,0,0,1,1,1,6,6,0,18,1,1,1,1,1,0,1,0,6,8,0,2,117
house,independent,sector 105,9.9,49500.0,2002.09,Built Up area: 2000 (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2,2,2,3.0,North,Undefined,,2000.0,1800.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
house,international city by sobha phase 2,sector 109,6.25,11574.0,5403.48,Plot area 600(501.68 sq.m.),4,4,3+,2.0,East,Relatively New,,5400.0,,0,1,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,138
house,independent,sector 24,6.5,22855.0,2841.67,Plot area 316(264.22 sq.m.),4,4,2,2.0,,Old Property,,2844.0,,0,0,0,1,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,4,6,0,0,35
house,independent,sector 26,20.0,44444.0,4499.31,Plot area 500(418.06 sq.m.),5,7,3+,3.0,West,Relatively New,,4500.0,,0,1,0,1,0,1,1,0,10,5,5,25,1,1,1,1,1,1,1,5,5,16,1,2,97
house,independent,sector 43,6.5,35400.0,1937.5,Plot area 215(179.77 sq.m.)Built Up area: 215 sq.yards (179.77 sq.m.),5,4,3+,3.0,South-East,Moderately old,,215.0,,0,1,0,1,0,1,0,1,5,5,0,26,0,0,0,0,0,0,0,0,4,10,0,1,54
house,independent,sector 26,18.4,1859.0,4520.84,Plot area 502(419.74 sq.m.)Carpet area: 11000 sq.yards (9197.4 sq.m.),6,8,3+,4.0,South,Relatively New,,,11000.0,0,1,1,1,0,1,1,0,11,8,0,94,0,1,0,0,0,0,1,0,6,16,0,1,60
flat,ss hibiscus,sector 50,6.0,12272.0,4889.2,Super Built up area 4400(408.77 sq.m.),4,3,3,5.0,South-East,Moderately old,4400.0,,,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,31
house,independent,sector 24,11.0,28898.0,3810.42,Plot area 3806.45(353.63 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.),8,11,3+,3.0,East,Old Property,,5000.0,,1,1,0,1,1,0,1,0,0,8,0,40,0,0,0,0,0,11,1,0,8,12,0,1,39
house,tata primanti,sector 72,8.6,12285.0,6996.54,Built Up area: 7000 (650.32 sq.m.),4,5,3+,3.0,,Relatively New,,7000.0,,0,0,0,0,0,1,1,0,0,5,0,27,0,1,0,1,0,0,1,0,4,10,0,1,30
house,ansal sushant lok plots,sector 43,5.8,29974.0,1937.5,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,,1935.0,,0,1,0,0,1,1,1,0,0,5,0,18,0,0,0,0,0,0,1,0,6,5,0,1,49
house,unitech uniworld resorts,sector 33,9.5,23333.0,4499.31,Plot area 500(418.06 sq.m.),5,7,3+,2.0,East,Undefined,,4500.0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
house,malibu towne,sector 47,8.81,27191.0,3239.93,Plot area 360(301.01 sq.m.),8,6,3+,3.0,East,Moderately old,,3240.0,,1,1,0,0,1,2,0,0,0,7,0,7,0,0,0,0,0,0,0,0,7,13,0,1,27
house,international city by sobha phase 2,sector 109,7.0,11240.0,6232.3,Plot area 692(578.6 sq.m.),5,5,3+,2.0,South,Relatively New,,6228.0,,0,1,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,129
house,independent,sector 26,5.8,32222.0,1797.57,Plot area 200(167.23 sq.m.),5,5,3+,2.0,North,Old Property,,1800.0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
flat,dlf royalton tower,sector 43,6.2,20687.0,2997.0,Super Built up area 2997(278.43 sq.m.),4,4,3+,9.0,,Moderately old,2997.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
flat,tata gurgaon gateway,sector 113,6.0,9139.0,6565.3,Carpet area: 6565 (609.91 sq.m.),5,6,3+,24.0,North,Moderately old,,,6565.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
house,independent,sector 25,13.0,45710.0,2841.67,Plot area 316(264.22 sq.m.),6,8,3+,1.0,,Relatively New,,2844.0,,1,1,1,1,0,1,1,1,26,0,0,0,0,0,1,1,1,1,1,0,0,0,1,2,0
house,unitech espace,sector 50,9.8,30247.0,3239.93,Plot area 360(301.01 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 280 sq.yards (234.12 sq.m.),4,4,3,2.0,North-West,Moderately old,,300.0,280.0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22
house,international city by sobha phase 1,sector 109,6.0,9634.0,6232.3,Plot area 692(578.6 sq.m.),5,5,3+,2.0,South-West,Relatively New,,6228.0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
house,international city by sobha phase 2,sector 109,11.25,25000.0,4499.31,Plot area 500(418.06 sq.m.),7,5,3+,4.0,North-East,Relatively New,,4500.0,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
