property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servent room,store room,furnishing_type,luxury_category,floor_category,price
0.0,62.0,3.0,3,3.0,0.0,2573.0,0,0,1,1.0,0.0,5.3
1.0,54.0,9.0,9,4.0,1.0,2660.0,1,0,2,2.0,2.0,6.25
0.0,14.0,3.0,3,4.0,1.0,1696.0,0,0,0,1.0,1.0,2.51
0.0,41.0,3.0,3,2.0,1.0,206.0,0,0,2,1.0,1.0,2.4
0.0,32.0,4.0,4,4.0,2.0,4809.0,0,0,2,2.0,0.0,3.25
0.0,44.0,2.0,2,2.0,3.0,720.0,0,0,0,1.0,2.0,0.39
1.0,9.0,4.0,5,3.0,0.0,6228.0,0,0,0,2.0,1.0,6.0
0.0,20.0,2.0,2,3.0,0.0,1490.0,0,0,0,2.0,2.0,1.26
1.0,25.0,5.0,5,2.0,0.0,3375.0,0,0,2,2.0,1.0,9.9
0.0,34.0,3.0,3,4.0,3.0,1725.0,0,0,0,2.0,0.0,1.55
0.0,32.0,3.0,3,3.0,1.0,2667.0,0,0,0,2.0,1.0,3.3
0.0,88.0,3.0,4,3.0,3.0,1538.0,0,0,0,2.0,2.0,0.92
0.0,88.0,3.0,3,2.0,3.0,2167.0,0,0,2,1.0,2.0,0.92
0.0,4.0,2.0,2,1.0,3.0,541.0,0,0,0,2.0,2.0,0.4
0.0,83.0,2.0,2,4.0,3.0,1591.0,0,0,0,2.0,2.0,1.05
1.0,8.0,4.0,4,4.0,3.0,3000.0,0,0,0,1.0,1.0,1.7
1.0,15.0,5.0,5,2.0,2.0,1350.0,0,0,0,1.0,2.0,2.0
0.0,85.0,4.0,4,3.0,1.0,1745.0,0,0,0,2.0,1.0,2.1
0.0,34.0,2.0,3,4.0,1.0,1503.0,0,0,0,1.0,2.0,0.87
0.0,88.0,4.0,4,4.0,0.0,2251.0,0,0,0,1.0,2.0,1.42
0.0,84.0,3.0,3,3.0,3.0,1715.0,0,0,2,1.0,0.0,1.3
1.0,16.0,3.0,6,2.0,2.0,115.0,0,0,0,1.0,2.0,1.25
0.0,11.0,5.0,5,2.0,3.0,3500.0,0,0,0,0.0,2.0,4.1
0.0,84.0,4.0,4,4.0,3.0,2244.0,0,0,0,2.0,0.0,1.4
0.0,66.0,3.0,3,2.0,3.0,1560.0,0,0,0,0.0,1.0,1.66
0.0,62.0,4.0,4,4.0,3.0,1975.1,0,0,0,2.0,1.0,3.0
1.0,35.0,9.0,9,4.0,3.0,4800.0,0,1,2,0.0,1.0,4.0
0.0,22.0,3.0,4,4.0,1.0,2000.0,0,0,2,2.0,2.0,3.5
0.0,81.0,3.0,4,0.0,3.0,1900.0,0,0,0,2.0,2.0,1.8
0.0,66.0,3.0,3,2.0,3.0,1503.0,0,0,2,0.0,1.0,1.46
0.0,33.0,2.0,2,3.0,1.0,654.0,0,0,0,1.0,2.0,0.41
0.0,63.0,3.0,3,2.0,3.0,2200.0,0,0,0,2.0,2.0,3.5
0.0,47.0,3.0,3,3.0,0.0,2000.0,0,0,2,2.0,2.0,2.35
0.0,59.0,2.0,2,2.0,1.0,1389.0,0,0,0,1.0,2.0,1.85
0.0,62.0,4.0,4,3.0,3.0,1975.1,0,0,2,2.0,2.0,3.5
1.0,50.0,5.0,5,2.0,3.0,2250.0,0,0,0,1.0,2.0,4.0
1.0,9.0,4.0,4,4.0,1.0,2430.0,1,0,0,2.0,1.0,5.5
0.0,64.0,3.0,3,3.0,3.0,2207.0,0,0,2,0.0,2.0,2.95
0.0,61.0,4.0,4,4.0,1.0,3150.0,0,0,2,2.0,2.0,4.49
1.0,29.0,2.0,3,2.0,3.0,1000.0,0,0,0,1.0,1.0,0.58
0.0,2.0,2.0,2,2.0,3.0,1157.0,0,0,0,2.0,2.0,1.24
1.0,25.0,3.0,9,4.0,2.0,1937.5,1,1,2,2.0,2.0,6.5
0.0,82.0,2.0,2,1.0,3.0,545.0,0,0,1,2.0,2.0,0.36
0.0,92.0,2.0,2,1.0,1.0,610.0,0,0,0,1.0,2.0,0.38
0.0,32.0,2.0,2,2.0,1.0,1492.0,0,0,0,2.0,1.0,1.2
0.0,45.0,3.0,3,3.0,0.0,2178.0,0,0,0,2.0,2.0,1.69
0.0,68.0,2.0,2,1.0,1.0,930.0,0,0,2,2.0,0.0,0.95
0.0,86.0,2.0,3,3.0,4.0,1050.0,0,0,0,1.0,2.0,0.86
1.0,67.0,5.0,3,4.0,2.0,1350.0,1,0,0,1.0,2.0,2.3
1.0,61.0,6.0,6,4.0,4.0,3132.0,0,1,0,1.0,2.0,8.5
0.0,14.0,3.0,3,4.0,1.0,2111.0,0,0,0,2.0,2.0,2.85
0.0,20.0,3.0,4,4.0,0.0,1829.0,0,0,0,2.0,2.0,1.55
0.0,68.0,3.0,3,3.0,3.0,1574.0,0,0,0,1.0,2.0,1.6
0.0,62.0,3.0,3,3.0,1.0,2282.0,0,0,2,0.0,0.0,3.5
0.0,64.0,4.0,4,4.0,3.0,3160.0,0,0,2,1.0,1.0,4.5
0.0,30.0,2.0,2,1.0,2.0,943.0,0,0,0,2.0,2.0,0.69
0.0,44.0,2.0,2,1.0,3.0,577.0,0,0,0,1.0,2.0,0.29
0.0,2.0,3.0,3,3.0,3.0,1452.0,0,0,0,1.0,2.0,1.4
0.0,88.0,3.0,3,4.0,3.0,1817.0,0,0,0,0.0,0.0,1.29
0.0,85.0,3.0,3,4.0,1.0,1762.0,0,0,0,1.0,0.0,1.5
0.0,92.0,1.0,1,1.0,1.0,324.0,0,0,0,1.0,1.0,0.22
0.0,9.0,3.0,4,4.0,1.0,2462.0,0,0,0,2.0,2.0,2.3
1.0,1.0,4.0,3,2.0,0.0,2367.0,0,0,0,1.0,1.0,4.25
0.0,40.0,3.0,4,2.0,2.0,2048.0,0,0,0,1.0,2.0,4.2
0.0,61.0,3.0,3,4.0,3.0,1642.0,0,0,2,1.0,0.0,3.0
0.0,83.0,2.0,2,2.0,3.0,1591.0,0,0,0,1.0,0.0,1.06
0.0,79.0,2.0,2,1.0,3.0,628.0,0,0,2,2.0,2.0,0.48
0.0,47.0,3.0,3,4.0,0.0,1950.0,0,0,2,0.0,2.0,2.35
1.0,29.0,2.0,3,1.0,3.0,999.0,0,1,0,1.0,1.0,0.7
0.0,59.0,3.0,4,4.0,1.0,2250.0,0,0,0,2.0,0.0,3.87
0.0,90.0,3.0,3,3.0,3.0,1829.0,0,0,0,1.0,2.0,1.5
0.0,0.0,4.0,5,4.0,1.0,2247.0,0,0,0,1.0,2.0,1.5
0.0,91.0,2.0,2,2.0,1.0,604.0,0,0,0,1.0,0.0,0.4
1.0,16.0,10.0,10,2.0,2.0,400.0,0,0,0,1.0,1.0,2.25
1.0,40.0,10.0,10,4.0,1.0,549.0,1,0,0,1.0,2.0,2.1
0.0,75.0,3.0,4,3.0,0.0,1668.0,0,0,0,2.0,2.0,0.88
0.0,68.0,6.0,7,4.0,3.0,5333.0,0,0,0,2.0,1.0,5.0
0.0,61.0,4.0,4,0.0,3.0,3950.0,0,0,0,2.0,2.0,7.8
0.0,74.0,3.0,3,3.0,3.0,1645.0,0,0,2,1.0,0.0,0.92
0.0,7.0,2.0,2,4.0,3.0,1301.0,0,0,2,0.0,2.0,0.8
0.0,81.0,3.0,2,1.0,3.0,1740.0,0,0,1,0.0,2.0,1.25
0.0,83.0,3.0,4,3.0,0.0,1450.0,0,0,2,2.0,2.0,1.77
0.0,64.0,3.0,3,2.0,4.0,1387.0,0,0,0,1.0,2.0,2.0
0.0,83.0,3.0,3,3.0,4.0,141.0,0,0,0,1.0,0.0,1.8
1.0,37.0,3.0,2,1.0,2.0,250.0,1,0,0,1.0,1.0,2.25
1.0,40.0,4.0,4,2.0,2.0,1937.5,1,0,2,2.0,1.0,5.25
0.0,1.0,2.0,2,3.0,1.0,1143.0,0,0,0,2.0,2.0,0.9
0.0,70.0,4.0,5,4.0,3.0,2800.0,0,0,2,0.0,2.0,4.0
1.0,20.0,4.0,4,3.0,3.0,1560.77,0,1,2,1.0,1.0,2.9
0.0,76.0,3.0,4,4.0,1.0,1713.0,0,0,0,2.0,2.0,1.7
0.0,70.0,4.0,5,4.0,3.0,2500.0,0,0,2,0.0,0.0,3.19
0.0,66.0,3.0,3,2.0,3.0,1465.0,0,0,2,0.0,0.0,1.31
1.0,64.0,4.0,4,2.0,1.0,2700.0,0,0,2,2.0,2.0,1.83
1.0,54.0,5.0,6,4.0,2.0,3438.0,1,1,0,1.0,2.0,8.31
0.0,44.0,2.0,2,1.0,3.0,587.0,0,0,0,1.0,1.0,0.25
0.0,90.0,4.0,5,4.0,3.0,1900.0,0,0,0,1.0,2.0,0.9
0.0,2.0,3.0,3,3.0,3.0,1354.0,0,0,0,2.0,2.0,1.35
1.0,67.0,2.0,2,2.0,2.0,1440.0,0,0,0,1.0,1.0,2.0
0.0,61.0,4.0,4,3.0,3.0,3956.0,0,0,0,2.0,0.0,7.52
1.0,47.0,4.0,4,3.0,0.0,3239.93,1,0,0,1.0,1.0,9.8
0.0,54.0,5.0,6,4.0,0.0,5010.0,0,0,2,0.0,0.0,5.5
0.0,80.0,2.0,2,2.0,3.0,1367.0,0,0,2,2.0,0.0,0.94
0.0,69.0,1.0,1,1.0,0.0,869.0,0,0,0,1.0,2.0,1.0
0.0,74.0,3.0,4,4.0,3.0,1878.0,0,0,0,1.0,2.0,1.1
0.0,44.0,2.0,2,2.0,3.0,800.0,0,0,1,2.0,2.0,0.46
0.0,9.0,3.0,4,3.0,3.0,2462.0,0,0,0,2.0,0.0,2.25
0.0,51.0,4.0,6,4.0,0.0,2455.0,0,0,2,2.0,0.0,6.75
0.0,83.0,2.0,2,4.0,3.0,1445.0,0,0,0,2.0,0.0,1.3
0.0,2.0,3.0,3,4.0,3.0,2222.0,0,0,2,2.0,2.0,1.98
1.0,67.0,3.0,2,1.0,2.0,562.0,0,0,0,1.0,1.0,0.45
0.0,92.0,2.0,2,1.0,1.0,950.0,0,0,0,1.0,0.0,0.3
0.0,62.0,4.0,4,3.0,3.0,2194.0,0,0,0,1.0,2.0,2.85
1.0,64.0,6.0,7,4.0,0.0,3600.0,1,0,2,1.0,0.0,8.0
0.0,80.0,2.0,2,2.0,3.0,1238.0,0,0,2,2.0,0.0,0.81
0.0,65.0,2.0,2,2.0,1.0,1200.0,0,0,0,1.0,0.0,0.93
0.0,64.0,1.0,1,1.0,3.0,826.0,0,0,0,1.0,0.0,1.0
0.0,83.0,3.0,4,3.0,3.0,2300.0,0,0,0,1.0,2.0,1.98
0.0,14.0,3.0,3,3.0,1.0,2599.0,0,0,0,0.0,2.0,2.78
1.0,5.0,2.0,2,1.0,0.0,556.0,0,0,0,1.0,1.0,0.35
0.0,0.0,3.0,3,3.0,2.0,1900.0,0,0,1,1.0,1.0,0.9
0.0,63.0,3.0,2,3.0,3.0,1700.0,0,0,2,0.0,2.0,2.4
0.0,90.0,4.0,5,4.0,3.0,2512.0,0,0,2,2.0,0.0,2.0
0.0,93.0,4.0,4,4.0,1.0,3200.0,0,0,0,2.0,1.0,3.25
0.0,88.0,3.0,3,4.0,3.0,1731.0,0,0,2,2.0,0.0,1.15
1.0,42.0,4.0,4,2.0,3.0,1625.35,0,0,2,1.0,1.0,3.5
1.0,6.0,1.0,5,4.0,1.0,600.0,0,0,0,1.0,2.0,0.85
1.0,20.0,3.0,3,2.0,2.0,1560.77,0,0,0,1.0,1.0,2.55
0.0,60.0,2.0,2,2.0,1.0,1200.0,0,0,1,0.0,2.0,2.45
0.0,22.0,3.0,3,3.0,3.0,1860.1,0,0,2,2.0,2.0,2.55
0.0,86.0,3.0,3,4.0,4.0,1944.0,0,0,0,2.0,2.0,1.7
0.0,70.0,4.0,5,4.0,3.0,2625.0,0,0,0,1.0,0.0,3.5
1.0,25.0,5.0,5,3.0,0.0,1800.0,1,0,2,2.0,1.0,6.25
0.0,88.0,4.0,5,2.0,1.0,2310.0,0,0,0,2.0,2.0,1.27
1.0,26.0,4.0,4,4.0,3.0,9000.0,1,1,2,2.0,1.0,23.0
1.0,9.0,5.0,6,2.0,3.0,5400.0,1,0,0,0.0,1.0,7.0
1.0,53.0,10.0,10,4.0,3.0,8286.0,1,0,1,2.0,2.0,8.0
0.0,87.0,4.0,3,3.0,2.0,2007.0,0,0,0,1.0,1.0,1.25
0.0,65.0,2.0,2,3.0,3.0,1012.0,0,0,1,2.0,1.0,1.2
0.0,85.0,2.0,2,1.0,1.0,695.0,0,0,0,1.0,2.0,0.45
1.0,44.0,3.0,3,3.0,0.0,1484.0,0,0,0,1.0,2.0,1.05
0.0,93.0,2.0,2,2.0,1.0,755.0,0,0,0,2.0,2.0,0.4
0.0,79.0,3.0,4,4.0,3.0,2300.0,0,0,2,2.0,2.0,2.25
0.0,70.0,3.0,3,4.0,3.0,2000.0,0,0,2,0.0,2.0,3.3
1.0,40.0,8.0,7,4.0,0.0,2850.0,1,0,2,2.0,2.0,5.5
1.0,44.0,1.0,1,0.0,3.0,297.0,0,0,0,1.0,1.0,0.07
1.0,36.0,10.0,11,4.0,3.0,7000.0,0,0,2,1.0,2.0,7.0
1.0,39.0,1.0,1,0.0,0.0,1200.0,0,0,0,1.0,1.0,1.65
1.0,68.0,4.0,4,4.0,0.0,2610.0,1,1,0,2.0,2.0,4.6
0.0,64.0,3.0,4,3.0,3.0,2178.0,0,0,2,2.0,0.0,3.4
0.0,20.0,1.0,1,1.0,0.0,700.0,0,0,2,2.0,2.0,0.6
0.0,33.0,3.0,4,3.0,1.0,2820.0,0,0,1,1.0,0.0,4.1
0.0,44.0,2.0,2,2.0,0.0,1350.0,0,0,0,2.0,2.0,0.75
0.0,69.0,2.0,2,1.0,3.0,600.0,0,0,2,1.0,2.0,0.55
0.0,34.0,4.0,4,3.0,1.0,2327.0,0,0,0,2.0,1.0,2.08
0.0,81.0,2.0,2,2.0,3.0,850.0,0,0,2,0.0,2.0,0.78
0.0,86.0,2.0,2,2.0,1.0,1226.0,0,0,0,1.0,1.0,0.85
0.0,28.0,2.0,1,1.0,2.0,1188.0,0,0,0,2.0,1.0,0.95
1.0,42.0,5.0,5,4.0,0.0,1453.13,1,0,2,2.0,2.0,3.6
0.0,7.0,3.0,3,3.0,3.0,1750.0,0,0,2,1.0,2.0,1.2
0.0,88.0,2.0,2,2.0,3.0,796.0,0,0,0,1.0,1.0,0.5
0.0,68.0,2.0,2,2.0,3.0,1262.0,0,0,0,1.0,0.0,1.4
1.0,43.0,3.0,3,3.0,2.0,275.0,0,0,2,1.0,1.0,1.15
0.0,88.0,3.0,3,4.0,3.0,1664.0,0,0,0,2.0,0.0,1.21
1.0,4.0,3.0,5,4.0,0.0,920.0,0,0,0,2.0,1.0,1.95
0.0,8.0,3.0,3,3.0,3.0,1711.0,0,0,2,0.0,0.0,2.33
0.0,44.0,2.0,2,2.0,1.0,640.0,0,0,0,1.0,1.0,0.27
0.0,40.0,4.0,4,2.0,2.0,2667.0,0,0,2,1.0,1.0,6.0
0.0,3.0,2.0,2,3.0,1.0,1296.0,0,0,0,2.0,2.0,0.88
1.0,37.0,2.0,1,1.0,0.0,75.0,0,0,0,1.0,1.0,0.55
0.0,44.0,4.0,4,4.0,3.0,3000.0,0,0,0,1.0,1.0,3.45
1.0,37.0,3.0,3,2.0,2.0,4950.0,0,0,0,1.0,1.0,5.0
1.0,45.0,4.0,4,3.0,1.0,540.0,0,0,2,1.0,2.0,1.6
0.0,34.0,3.0,3,3.0,3.0,1435.0,0,0,0,2.0,2.0,0.9
0.0,82.0,2.0,2,3.0,3.0,1430.0,0,0,0,1.0,0.0,1.15
0.0,80.0,4.0,5,4.0,3.0,2310.0,0,0,0,2.0,2.0,1.6
0.0,72.0,2.0,2,3.0,3.0,1300.0,0,0,0,0.0,0.0,1.5
0.0,82.0,1.0,1,1.0,1.0,500.0,0,0,2,1.0,0.0,0.3
1.0,10.0,1.0,4,0.0,0.0,891.0,0,0,0,1.0,2.0,0.78
0.0,82.0,3.0,3,4.0,3.0,1525.0,0,0,0,0.0,0.0,0.9
0.0,80.0,2.0,2,2.0,3.0,1236.0,0,0,2,2.0,1.0,0.78
1.0,37.0,2.0,2,1.0,0.0,67.0,0,0,0,1.0,1.0,0.58
0.0,62.0,3.0,3,4.0,3.0,1833.0,0,0,2,1.0,2.0,2.8
0.0,12.0,4.0,5,4.0,0.0,2810.0,0,0,0,2.0,0.0,3.65
0.0,88.0,2.0,2,1.0,1.0,590.0,0,0,0,1.0,2.0,0.4
0.0,84.0,3.0,4,3.0,3.0,2176.0,0,0,0,2.0,0.0,1.93
0.0,2.0,3.0,4,2.0,3.0,1635.0,0,0,2,0.0,0.0,1.91
0.0,11.0,5.0,5,3.0,3.0,3648.0,0,0,0,2.0,2.0,3.79
1.0,67.0,3.0,2,0.0,2.0,1000.0,0,0,0,1.0,1.0,0.45
