property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,pioneer araya,sector 62,7.56,18000.0,4200.0,Built Up area: 4200 (390.19 sq.m.),4,4,3+,23.0,West,Relatively New,,4200.0,,0,0,0,0,0,1,87
house,independent,sector 41,9.0,27778.0,3240.0,Plot area 360(301.01 sq.m.),8,5,3+,3.0,,Old Property,,3240.0,,0,1,1,1,0,1,26
house,experion windchants,sector 112,9.5,23457.0,4050.0,Plot area 450(376.26 sq.m.)Built Up area: 7450 sq.yards (6229.15 sq.m.),5,5,3,2.0,,Relatively New,,7450.0,,0,1,0,0,0,0,45
house,international city by sobha phase 1,sector 109,6.75,10838.0,6228.0,Plot area 692(578.6 sq.m.),4,4,3+,2.0,North-East,New Property,,6228.0,,0,1,0,1,0,0,130
house,independent,sector 82,7.0,21605.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3+,1.0,North-East,Relatively New,,3240.0,,1,1,0,1,0,1,49
house,independent,sector 9,22.0,7407.0,29702.0,Carpet area: 33 (27.59 sq.m.),2,2,2,1.0,,Undefined,,,33.0,0,0,0,0,0,0,0
house,independent,sector 13,9.0,100000.0,900.0,Plot area 900(83.61 sq.m.),10,5,3+,4.0,,Old Property,,900.0,,0,0,0,0,0,0,0
house,independent,sector 9,37.0,9390.0,39404.0,Plot area 394(36.6 sq.m.),1,1,0,3.0,,Moderately Old,,394.0,,0,0,0,0,0,0,0
house,independent,sector 56,7.25,29336.0,2471.0,Plot area 303(253.35 sq.m.),8,8,3+,0.0,North-East,Moderately Old,,303.0,,0,0,0,0,0,1,24
house,independent,sector 50,12.5,40611.0,3078.0,Plot area 342(285.96 sq.m.),6,5,3,4.0,East,Moderately Old,,3078.0,,1,1,0,1,0,1,23
house,independent,sector 105,59.95,11102.0,53999.0,Plot area 60(50.17 sq.m.),8,4,3,3.0,West,New Property,,60.0,,0,0,0,0,0,0,17
house,emaar mgf marbella,sector 66,18.0,55556.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3+,3.0,East,Moderately Old,,3240.0,,1,1,0,1,0,2,75
house,"om nagar, sector-11",sector 37,60.0,8333.0,72003.0,Plot area 720(66.89 sq.m.),4,2,1,0.0,East,Old Property,,720.0,,0,0,0,0,1,0,7
house,independent,sector 3,70.0,7007.0,99900.0,Plot area 111(92.81 sq.m.),2,3,1,1.0,North,Relatively New,,111.0,,0,0,1,1,0,0,29
house,vipul tatvam villa,sector 48,7.8,23148.0,3370.0,Plot area 360(301.01 sq.m.),4,4,3+,2.0,North-East,Relatively New,,3240.0,,1,1,1,1,0,1,145
flat,krrish provence estate,sector 59,7.5,7500.0,10000.0,Super Built up area 10000(929.03 sq.m.),5,6,3+,23.0,North-East,Relatively New,10000.0,,,0,0,0,0,0,0,49
flat,dlf the arbour,sector 63,7.8,19747.0,3950.0,Built Up area: 3950 (366.97 sq.m.),4,4,0,6.0,,Undefined,,3950.0,,0,0,0,0,0,0,61
house,sobha city,sector 108,10.5,14323.0,7331.0,Built Up area: 7331 (681.07 sq.m.),5,4,3+,1.0,East,Undefined,,7331.0,,0,0,0,0,0,0,59
house,ansal sushant lok,sector 43,10.5,27911.0,3762.0,Plot area 418(349.5 sq.m.),4,4,2,1.0,North-East,Old Property,,3762.0,,0,1,0,0,0,0,59
house,independent,sector 4,65.0,11111.0,58501.0,Plot area 65(54.35 sq.m.),4,2,2,1.0,,Moderately Old,,65.0,,0,0,0,0,0,0,0
house,emaar mgf marbella,sector 66,8.7,38667.0,2250.0,Plot area 250(209.03 sq.m.)Built Up area: 267 sq.yards (223.25 sq.m.),4,5,2,3.0,East,New Property,,267.0,,1,1,0,0,0,0,144
house,row house,sector 105,42.75,9135.0,46798.0,Plot area 52(43.48 sq.m.)Built Up area: 1050 sq.yards (877.93 sq.m.),3,3,3,2.0,,Relatively New,,1050.0,,0,0,0,0,0,0,0
house,independent,sector 55,7.49,27741.0,2700.0,Plot area 300(250.84 sq.m.),12,12,3+,4.0,South-East,Relatively New,,2700.0,,1,1,0,1,0,1,49
house,independent,sector 14,7.5,16600.0,4518.0,Plot area 502(419.74 sq.m.),3,3,2,1.0,West,Old Property,,4518.0,,1,1,0,1,0,1,27
house,independent,sector 104,60.0,5128.0,117005.0,Plot area 130(108.7 sq.m.),7,3,1,2.0,North,Moderately Old,,130.0,,0,0,0,0,0,0,0
house,dlf city plots,sector 26,16.0,37778.0,4235.0,Plot area 500(418.06 sq.m.),4,4,3,1.0,,Relatively New,,500.0,,1,0,1,1,0,0,7
house,independent,sector 9,42.0,9333.0,45002.0,Built Up area: 450 (41.81 sq.m.),5,3,2,2.0,,Undefined,,450.0,,0,0,0,0,0,0,0
house,sushant lok 1 builder floors,sector 43,13.0,48148.0,2700.0,Plot area 300(250.84 sq.m.),3,3,3+,4.0,North,New Property,,2700.0,,0,0,0,1,0,1,7
house,independent,sector 50,11.58,35741.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,2.0,,Moderately Old,,3240.0,,0,1,0,0,0,0,20
house,unitech aspen greens,sector 50,6.8,31481.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 220 sq.yards (183.95 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,5,3,3.0,West,Old Property,,220.0,200.0,1,1,0,0,0,1,111
house,independent,sector 41,11.0,33951.0,3240.0,Plot area 360(301.01 sq.m.),4,4,2,3.0,East,New Property,,3240.0,,1,1,0,1,0,0,35
flat,the penthouses at the hibiscus,sector 50,8.0,8888.0,9000.9,Carpet area: 9000 (836.13 sq.m.),4,3,3,7.0,South-East,Moderately Old,,,9000.0,0,0,0,0,0,0,35
house,independent,sector 45,10.0,30864.0,3240.0,Plot area 360(301.01 sq.m.),6,6,3+,4.0,North-East,Moderately Old,,3240.0,,1,1,1,1,0,1,70
house,vatika india next,sector 82,7.0,194444.0,360.0,Plot area 360(33.45 sq.m.)Built Up area: 3900 sq.ft. (362.32 sq.m.)Carpet area: 3743 sq.ft. (347.74 sq.m.),4,4,3+,3.0,North-East,Relatively New,,3900.0,3743.0,0,1,0,0,0,2,105
house,independent,sector 28,8.4,34568.0,2430.0,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,Relatively New,,2430.0,,0,1,1,1,0,1,139
house,independent,sector 13,62.0,32291.0,19200.0,Built Up area: 192 (17.84 sq.m.),6,6,0,3.0,,Undefined,,192.0,,0,0,0,0,0,0,0
house,independent,sector 4,58.0,86567.0,6700.0,Plot area 67(6.22 sq.m.),2,2,1,2.0,West,Moderately Old,,67.0,,0,0,0,1,1,0,7
house,not applicable,sector 4,51.0,14167.0,35999.0,Plot area 40(33.45 sq.m.),4,4,3,4.0,,New Property,,40.0,,0,0,0,0,0,0,0
house,nirvana country,sector 50,10.0,14285.0,7000.0,Built Up area: 7000 (650.32 sq.m.),5,7,2,4.0,East,Moderately Old,,7000.0,,0,1,0,0,0,2,0
house,sushant lok 1 builder floors,sector 43,10.85,28841.0,3762.0,Plot area 418(349.5 sq.m.),8,8,3,3.0,West,Moderately Old,,3762.0,,1,1,1,1,0,2,160
house,unitech espace,sector 50,7.42,34351.0,2160.0,Plot area 2160(200.67 sq.m.)Built Up area: 3200 sq.ft. (297.29 sq.m.),4,4,3,2.0,West,Old Property,,3200.0,,0,0,0,0,0,1,88
